OA11CD,Rural Urban,Total,Part-time: Total,Part-time: 15 hours or less worked,Part-time: 16 to 30 hours worked,Full-time: Total,Full-time: 31 to 48 hours worked,Full-time: 49 or more hours worked
E00016314,Total,119,34,8,26,85,74,11
E00016319,Total,98,23,6,17,75,63,12
E00016321,Total,158,42,21,21,116,94,22
E00016322,Total,174,37,12,25,137,117,20
E00016305,Total,135,44,16,28,91,75,16
E00016306,Total,169,43,12,31,126,108,18
E00016308,Total,157,42,11,31,115,97,18
E00016315,Total,230,46,15,31,184,153,31
E00016317,Total,152,43,10,33,109,89,20
E00016320,Total,153,40,12,28,113,102,11
E00016779,Total,122,50,12,38,72,61,11
E00016789,Total,185,49,13,36,136,115,21
E00016797,Total,208,54,19,35,154,131,23
E00016798,Total,173,36,13,23,137,117,20
E00016821,Total,191,50,10,40,141,119,22
E00016780,Total,184,61,10,51,123,108,15
E00016782,Total,199,52,16,36,147,133,14
E00016790,Total,76,23,9,14,53,45,8
E00016792,Total,170,42,10,32,128,110,18
E00016795,Total,143,44,18,26,99,83,16
E00016783,Total,181,52,15,37,129,104,25
E00016802,Total,193,68,18,50,125,106,19
E00016807,Total,219,73,27,46,146,127,19
E00016809,Total,182,42,18,24,140,115,25
E00016810,Total,197,71,20,51,126,106,20
E00016784,Total,135,34,9,25,101,81,20
E00016811,Total,168,43,12,31,125,104,21
E00016812,Total,168,64,22,42,104,85,19
E00016816,Total,101,25,5,20,76,68,8
E00016817,Total,127,27,5,22,100,87,13
E00016785,Total,84,27,12,15,57,50,7
E00016786,Total,125,24,5,19,101,90,11
E00016787,Total,180,67,21,46,113,98,15
E00016822,Total,152,50,17,33,102,88,14
E00016824,Total,125,38,13,25,87,75,12
E00016445,Total,165,33,12,21,132,109,23
E00016448,Total,184,55,14,41,129,103,26
E00016452,Total,167,47,21,26,120,88,32
E00016454,Total,150,40,10,30,110,88,22
E00016455,Total,142,37,11,26,105,84,21
E00016446,Total,222,41,17,24,181,127,54
E00016453,Total,117,32,6,26,85,64,21
E00016456,Total,160,34,8,26,126,107,19
E00016457,Total,191,36,11,25,155,119,36
E00016462,Total,169,30,6,24,139,108,31
E00173944,Total,190,27,5,22,163,126,37
E00173945,Total,156,35,13,22,121,93,28
E00016444,Total,177,55,17,38,122,82,40
E00016484,Total,220,56,19,37,164,112,52
E00016485,Total,107,33,13,20,74,66,8
E00016488,Total,158,44,13,31,114,85,29
E00016489,Total,244,100,26,74,144,114,30
E00016443,Total,178,57,19,38,121,93,28
E00016483,Total,147,29,8,21,118,99,19
E00016486,Total,194,52,18,34,142,108,34
E00016487,Total,134,35,8,27,99,74,25
E00016491,Total,141,29,8,21,112,96,16
E00016449,Total,152,38,11,27,114,98,16
E00016450,Total,130,37,12,25,93,73,20
E00016451,Total,182,55,25,30,127,104,23
E00016490,Total,160,34,8,26,126,107,19
E00016492,Total,117,29,7,22,88,71,17
E00016281,Total,164,47,13,34,117,103,14
E00016290,Total,141,39,13,26,102,92,10
E00016292,Total,154,42,15,27,112,96,16
E00016293,Total,163,48,15,33,115,96,19
E00016295,Total,177,50,22,28,127,114,13
E00016258,Total,181,43,6,37,138,123,15
E00016259,Total,155,23,8,15,132,116,16
E00016298,Total,221,60,17,43,161,135,26
E00016299,Total,191,60,18,42,131,104,27
E00016274,Total,132,33,9,24,99,82,17
E00016276,Total,184,44,7,37,140,115,25
E00016277,Total,166,48,18,30,118,100,18
E00016278,Total,152,42,16,26,110,88,22
E00016285,Total,139,36,10,26,103,80,23
E00016256,Total,141,41,14,27,100,80,20
E00016284,Total,156,50,15,35,106,88,18
E00016286,Total,168,44,19,25,124,112,12
E00016296,Total,151,42,10,32,109,89,20
E00016297,Total,139,36,14,22,103,93,10
E00016275,Total,177,53,15,38,124,110,14
E00016279,Total,156,49,23,26,107,93,14
E00016280,Total,131,40,11,29,91,84,7
E00016283,Total,191,49,17,32,142,121,21
E00016287,Total,170,36,12,24,134,114,20
E00016513,Total,157,38,8,30,119,106,13
E00016514,Total,93,22,5,17,71,58,13
E00016515,Total,120,38,16,22,82,67,15
E00016516,Total,108,34,13,21,74,65,9
E00016519,Total,127,34,19,15,93,83,10
E00016521,Total,114,36,13,23,78,67,11
E00016493,Total,184,63,18,45,121,94,27
E00016499,Total,154,47,11,36,107,88,19
E00016502,Total,142,41,14,27,101,84,17
E00016503,Total,124,15,2,13,109,85,24
E00016507,Total,143,35,12,23,108,95,13
E00016540,Total,154,37,14,23,117,103,14
E00016498,Total,295,88,33,55,207,169,38
E00016500,Total,119,32,11,21,87,73,14
E00016505,Total,149,33,10,23,116,89,27
E00016541,Total,191,51,15,36,140,112,28
E00016494,Total,202,36,15,21,166,145,21
E00016495,Total,143,30,6,24,113,91,22
E00016501,Total,209,56,15,41,153,126,27
E00016508,Total,172,43,11,32,129,113,16
E00016511,Total,187,49,15,34,138,104,34
E00016504,Total,159,46,13,33,113,82,31
E00016506,Total,194,49,16,33,145,123,22
E00016509,Total,210,69,13,56,141,111,30
E00016510,Total,151,39,10,29,112,102,10
E00016512,Total,187,53,20,33,134,101,33
E00016750,Total,159,27,9,18,132,109,23
E00016752,Total,178,41,12,29,137,111,26
E00016753,Total,136,34,12,22,102,86,16
E00016758,Total,117,28,5,23,89,76,13
E00016763,Total,186,36,11,25,150,122,28
E00016738,Total,229,70,24,46,159,134,25
E00016739,Total,152,39,13,26,113,88,25
E00016740,Total,198,51,19,32,147,118,29
E00016749,Total,155,27,8,19,128,99,29
E00016755,Total,197,45,14,31,152,128,24
E00016745,Total,226,58,25,33,168,140,28
E00016746,Total,204,40,11,29,164,135,29
E00016751,Total,161,40,9,31,121,100,21
E00016754,Total,167,26,8,18,141,113,28
E00016757,Total,170,30,12,18,140,112,28
E00016732,Total,215,40,12,28,175,139,36
E00016735,Total,176,47,13,34,129,100,29
E00016741,Total,147,39,12,27,108,87,21
E00016742,Total,179,37,5,32,142,119,23
E00016733,Total,173,33,13,20,140,116,24
E00016734,Total,145,40,14,26,105,84,21
E00016743,Total,177,47,13,34,130,99,31
E00016744,Total,187,58,18,40,129,105,24
E00016747,Total,123,31,10,21,92,75,17
E00016261,Total,168,50,28,22,118,97,21
E00016282,Total,182,45,16,29,137,115,22
E00016288,Total,224,73,27,46,151,114,37
E00016289,Total,180,55,22,33,125,108,17
E00016294,Total,151,41,19,22,110,92,18
E00016260,Total,191,48,12,36,143,118,25
E00016262,Total,124,29,9,20,95,85,10
E00016266,Total,182,37,15,22,145,127,18
E00016267,Total,131,40,7,33,91,76,15
E00016271,Total,189,53,15,38,136,115,21
E00016257,Total,200,53,13,40,147,117,30
E00016263,Total,106,27,12,15,79,59,20
E00016265,Total,197,45,9,36,152,132,20
E00016268,Total,201,62,19,43,139,107,32
E00016291,Total,178,45,11,34,133,109,24
E00016264,Total,134,34,10,24,100,89,11
E00016269,Total,163,35,12,23,128,109,19
E00016270,Total,149,49,18,31,100,83,17
E00016272,Total,172,46,14,32,126,98,28
E00016273,Total,205,41,15,26,164,125,39
E00016930,Total,267,93,26,67,174,154,20
E00016946,Total,159,50,15,35,109,96,13
E00016952,Total,104,42,12,30,62,53,9
E00016964,Total,117,33,10,23,84,70,14
E00016929,Total,105,31,7,24,74,64,10
E00016931,Total,100,29,6,23,71,57,14
E00016932,Total,103,36,8,28,67,58,9
E00016954,Total,105,40,13,27,65,56,9
E00016961,Total,129,50,14,36,79,67,12
E00016933,Total,212,62,21,41,150,125,25
E00016953,Total,70,20,7,13,50,42,8
E00016957,Total,109,34,6,28,75,62,13
E00016960,Total,103,40,9,31,63,57,6
E00016966,Total,84,25,3,22,59,51,8
E00016940,Total,129,49,17,32,80,66,14
E00016941,Total,172,44,14,30,128,106,22
E00016942,Total,130,29,10,19,101,87,14
E00016943,Total,131,29,11,18,102,85,17
E00016944,Total,141,41,13,28,100,85,15
E00016945,Total,121,16,2,14,105,92,13
E00016728,Total,94,29,9,20,65,62,3
E00016764,Total,127,41,19,22,86,77,9
E00016766,Total,128,51,23,28,77,68,9
E00016768,Total,104,29,6,23,75,64,11
E00016772,Total,167,36,12,24,131,111,20
E00016737,Total,147,37,13,24,110,86,24
E00016748,Total,114,29,13,16,85,70,15
E00016756,Total,120,38,14,24,82,69,13
E00016760,Total,142,36,13,23,106,83,23
E00173704,Total,127,34,12,22,93,79,14
E00173705,Total,88,19,7,12,69,62,7
E00173707,Total,102,10,4,6,92,78,14
E00016729,Total,141,30,12,18,111,73,38
E00016730,Total,163,51,15,36,112,94,18
E00016759,Total,168,38,12,26,130,102,28
E00016761,Total,185,48,20,28,137,109,28
E00016762,Total,144,25,8,17,119,100,19
E00016765,Total,136,17,6,11,119,105,14
E00016767,Total,129,31,6,25,98,76,22
E00016770,Total,111,16,3,13,95,79,16
E00016771,Total,208,52,15,37,156,132,24
E00016774,Total,168,35,17,18,133,110,23
E00016777,Total,206,43,20,23,163,136,27
E00016731,Total,141,49,21,28,92,76,16
E00016769,Total,164,51,9,42,113,96,17
E00016773,Total,117,41,8,33,76,66,10
E00016775,Total,109,34,3,31,75,53,22
E00016776,Total,180,40,15,25,140,115,25
E00016460,Total,169,52,19,33,117,99,18
E00016463,Total,275,60,15,45,215,176,39
E00016467,Total,166,46,16,30,120,98,22
E00016469,Total,163,40,13,27,123,95,28
E00016471,Total,87,27,5,22,60,54,6
E00016472,Total,131,40,6,34,91,72,19
E00016447,Total,157,33,11,22,124,102,22
E00016458,Total,165,51,21,30,114,92,22
E00016459,Total,119,38,14,24,81,57,24
E00016464,Total,112,37,11,26,75,58,17
E00016465,Total,83,29,7,22,54,42,12
E00016466,Total,142,27,9,18,115,86,29
E00016475,Total,81,32,8,24,49,43,6
E00016476,Total,125,34,11,23,91,81,10
E00016478,Total,88,18,9,9,70,56,14
E00016479,Total,83,35,7,28,48,40,8
E00016480,Total,104,40,15,25,64,49,15
E00016482,Total,101,29,7,22,72,66,6
E00016468,Total,109,27,7,20,82,66,16
E00016470,Total,116,24,12,12,92,77,15
E00016473,Total,159,39,13,26,120,94,26
E00016474,Total,132,36,13,23,96,85,11
E00016477,Total,176,28,7,21,148,125,23
E00016481,Total,201,43,16,27,158,142,16
E00016126,Total,167,53,16,37,114,96,18
E00016127,Total,198,50,18,32,148,130,18
E00016131,Total,124,39,6,33,85,60,25
E00016134,Total,94,30,10,20,64,52,12
E00016140,Total,123,37,18,19,86,68,18
E00016118,Total,188,47,13,34,141,118,23
E00016154,Total,105,36,8,28,69,57,12
E00016155,Total,201,59,23,36,142,117,25
E00016156,Total,120,48,14,34,72,61,11
E00016157,Total,165,61,12,49,104,95,9
E00016112,Total,141,39,12,27,102,92,10
E00016119,Total,156,51,15,36,105,95,10
E00016121,Total,137,26,5,21,111,88,23
E00016123,Total,148,49,20,29,99,83,16
E00016158,Total,172,38,13,25,134,120,14
E00016113,Total,150,41,8,33,109,91,18
E00016120,Total,122,43,8,35,79,73,6
E00016122,Total,140,38,13,25,102,82,20
E00016124,Total,124,43,10,33,81,71,10
E00016125,Total,147,48,13,35,99,78,21
E00016114,Total,123,32,7,25,91,80,11
E00016128,Total,126,41,12,29,85,69,16
E00016130,Total,144,46,8,38,98,79,19
E00016133,Total,131,41,8,33,90,80,10
E00016135,Total,132,43,15,28,89,77,12
E00016948,Total,135,50,19,31,85,76,9
E00016949,Total,130,45,10,35,85,79,6
E00016951,Total,127,47,12,35,80,77,3
E00016955,Total,109,45,17,28,64,59,5
E00016956,Total,95,34,10,24,61,50,11
E00016950,Total,137,46,16,30,91,81,10
E00016967,Total,123,36,7,29,87,75,12
E00016968,Total,126,32,9,23,94,74,20
E00016969,Total,102,34,11,23,68,58,10
E00016971,Total,142,37,16,21,105,86,19
E00016928,Total,167,70,20,50,97,80,17
E00016947,Total,86,30,7,23,56,52,4
E00016958,Total,138,45,11,34,93,82,11
E00016963,Total,144,47,14,33,97,86,11
E00016937,Total,168,43,12,31,125,104,21
E00016959,Total,124,33,12,21,91,67,24
E00016962,Total,167,64,22,42,103,87,16
E00016965,Total,120,48,21,27,72,57,15
E00016970,Total,156,45,8,37,111,98,13
E00016934,Total,165,55,19,36,110,97,13
E00016935,Total,196,46,13,33,150,133,17
E00016936,Total,163,49,17,32,114,97,17
E00016938,Total,144,46,20,26,98,85,13
E00016939,Total,156,48,18,30,108,87,21
E00016496,Total,142,40,11,29,102,83,19
E00016517,Total,105,29,10,19,76,64,12
E00016518,Total,127,31,11,20,96,84,12
E00016523,Total,131,36,10,26,95,71,24
E00016524,Total,155,39,14,25,116,101,15
E00016525,Total,89,26,3,23,63,55,8
E00016497,Total,117,29,5,24,88,76,12
E00016527,Total,118,35,7,28,83,69,14
E00016528,Total,126,30,4,26,96,80,16
E00016531,Total,108,31,6,25,77,68,9
E00016532,Total,102,25,10,15,77,64,13
E00016535,Total,104,19,5,14,85,72,13
E00016520,Total,95,21,7,14,74,70,4
E00016522,Total,102,26,5,21,76,69,7
E00016526,Total,83,39,14,25,44,37,7
E00016529,Total,127,36,10,26,91,81,10
E00016530,Total,109,31,7,24,78,72,6
E00016533,Total,149,47,15,32,102,83,19
E00016534,Total,133,37,10,27,96,76,20
E00016536,Total,130,36,14,22,94,85,9
E00016537,Total,121,39,9,30,82,65,17
E00016538,Total,140,42,13,29,98,87,11
E00016539,Total,117,33,10,23,84,74,10
E00016830,Total,183,44,12,32,139,126,13
E00016839,Total,162,33,7,26,129,109,20
E00016845,Total,163,35,5,30,128,108,20
E00016872,Total,176,57,18,39,119,95,24
E00016873,Total,151,47,18,29,104,95,9
E00016838,Total,110,38,10,28,72,66,6
E00016840,Total,156,34,10,24,122,95,27
E00016847,Total,85,28,7,21,57,49,8
E00016852,Total,102,26,9,17,76,56,20
E00016858,Total,74,29,14,15,45,38,7
E00016874,Total,74,24,6,18,50,48,2
E00016826,Total,120,35,12,23,85,71,14
E00016831,Total,112,28,11,17,84,78,6
E00016832,Total,100,25,7,18,75,62,13
E00016833,Total,176,42,14,28,134,110,24
E00016875,Total,109,23,4,19,86,73,13
E00016828,Total,136,29,10,19,107,87,20
E00016850,Total,98,27,10,17,71,61,10
E00016854,Total,125,20,5,15,105,93,12
E00016855,Total,158,25,8,17,133,99,34
E00016857,Total,139,29,9,20,110,92,18
E00016878,Total,95,29,2,27,66,57,9
E00016827,Total,142,32,5,27,110,93,17
E00016834,Total,168,41,11,30,127,100,27
E00016842,Total,118,32,8,24,86,73,13
E00016856,Total,240,51,18,33,189,160,29
E00016876,Total,92,32,8,24,60,48,12
E00016877,Total,82,20,5,15,62,60,2
E00016115,Total,118,40,12,28,78,65,13
E00016136,Total,104,28,10,18,76,69,7
E00016137,Total,146,51,10,41,95,87,8
E00016138,Total,122,41,14,27,81,72,9
E00016139,Total,123,33,9,24,90,78,12
E00016116,Total,183,46,11,35,137,120,17
E00016129,Total,139,42,16,26,97,86,11
E00016142,Total,120,52,13,39,68,60,8
E00016144,Total,96,43,10,33,53,46,7
E00016145,Total,125,47,13,34,78,56,22
E00016150,Total,128,40,7,33,88,78,10
E00016117,Total,115,37,11,26,78,73,5
E00016132,Total,145,36,7,29,109,100,9
E00016143,Total,128,39,5,34,89,77,12
E00016147,Total,149,42,9,33,107,94,13
E00016153,Total,125,36,9,27,89,77,12
E00016141,Total,91,34,10,24,57,50,7
E00016146,Total,96,36,12,24,60,49,11
E00016148,Total,136,41,11,30,95,83,12
E00016149,Total,119,45,19,26,74,65,9
E00016151,Total,105,33,9,24,72,62,10
E00016152,Total,109,30,10,20,79,71,8
E00016843,Total,127,33,8,25,94,76,18
E00016863,Total,180,38,8,30,142,122,20
E00016868,Total,107,28,7,21,79,66,13
E00016870,Total,165,49,11,38,116,97,19
E00016871,Total,119,37,11,26,82,67,15
E00016848,Total,128,41,14,27,87,60,27
E00016859,Total,192,50,20,30,142,116,26
E00016861,Total,225,55,19,36,170,137,33
E00016862,Total,168,38,16,22,130,110,20
E00016866,Total,168,52,23,29,116,92,24
E00016829,Total,140,28,10,18,112,95,17
E00016851,Total,170,41,16,25,129,97,32
E00016860,Total,191,51,17,34,140,122,18
E00016864,Total,140,36,13,23,104,85,19
E00016867,Total,139,28,7,21,111,87,24
E00016869,Total,93,24,3,21,69,57,12
E00016835,Total,150,43,12,31,107,90,17
E00016837,Total,143,34,11,23,109,85,24
E00016846,Total,168,40,12,28,128,108,20
E00016849,Total,108,23,9,14,85,72,13
E00016865,Total,178,45,14,31,133,118,15
E00016825,Total,109,42,12,30,67,63,4
E00016836,Total,140,40,11,29,100,83,17
E00016841,Total,146,54,17,37,92,86,6
E00016844,Total,143,44,15,29,99,74,25
E00016853,Total,92,34,10,24,58,48,10
E00016350,Total,148,32,10,22,116,106,10
E00016369,Total,108,21,9,12,87,80,7
E00016370,Total,135,41,19,22,94,81,13
E00016371,Total,99,22,6,16,77,67,10
E00016374,Total,99,31,11,20,68,63,5
E00016352,Total,116,41,13,28,75,69,6
E00016373,Total,125,40,17,23,85,72,13
E00016378,Total,111,34,1,33,77,67,10
E00016381,Total,140,52,17,35,88,72,16
E00016382,Total,97,29,11,18,68,59,9
E00016348,Total,106,32,10,22,74,68,6
E00016372,Total,133,43,6,37,90,76,14
E00016375,Total,119,26,8,18,93,81,12
E00016377,Total,113,38,12,26,75,61,14
E00016379,Total,116,39,9,30,77,67,10
E00016349,Total,115,22,4,18,93,79,14
E00016351,Total,225,71,19,52,154,135,19
E00016376,Total,115,35,12,23,80,71,9
E00016383,Total,141,37,9,28,104,89,15
E00016356,Total,144,61,20,41,83,78,5
E00016387,Total,144,47,17,30,97,90,7
E00016393,Total,123,35,7,28,88,81,7
E00165790,Total,108,39,11,28,69,61,8
E00016361,Total,91,29,12,17,62,50,12
E00016363,Total,129,51,15,36,78,65,13
E00016366,Total,117,32,13,19,85,70,15
E00016367,Total,86,29,6,23,57,44,13
E00016368,Total,150,36,15,21,114,93,21
E00016353,Total,124,34,10,24,90,76,14
E00016360,Total,210,48,19,29,162,144,18
E00016380,Total,105,33,12,21,72,64,8
E00016389,Total,100,31,7,24,69,60,9
E00016390,Total,83,29,12,17,54,42,12
E00016392,Total,128,26,5,21,102,90,12
E00016359,Total,124,38,12,26,86,75,11
E00016384,Total,157,48,15,33,109,82,27
E00016385,Total,132,45,15,30,87,75,12
E00016386,Total,79,17,4,13,62,56,6
E00016388,Total,140,31,9,22,109,96,13
E00016346,Total,97,36,6,30,61,56,5
E00016354,Total,83,26,5,21,57,44,13
E00016357,Total,105,46,17,29,59,55,4
E00016358,Total,113,34,8,26,79,66,13
E00016391,Total,149,52,17,35,97,80,17
E00016362,Total,133,38,11,27,95,80,15
E00016364,Total,96,26,5,21,70,65,5
E00016365,Total,79,22,8,14,57,48,9
E00016394,Total,126,42,12,30,84,72,12
E00165789,Total,104,32,9,23,72,62,10
E00016678,Total,101,44,14,30,57,46,11
E00016722,Total,129,42,11,31,87,75,12
E00016724,Total,179,48,17,31,131,114,17
E00016727,Total,149,53,18,35,96,84,12
E00016676,Total,93,31,7,24,62,55,7
E00016685,Total,135,49,17,32,86,74,12
E00016690,Total,115,41,14,27,74,66,8
E00016691,Total,158,52,20,32,106,96,10
E00016726,Total,77,31,14,17,46,38,8
E00016688,Total,130,39,10,29,91,77,14
E00016695,Total,105,32,11,21,73,60,13
E00016705,Total,159,46,18,28,113,92,21
E00016710,Total,149,37,12,25,112,90,22
E00016712,Total,139,58,29,29,81,72,9
E00016682,Total,153,39,8,31,114,99,15
E00016686,Total,136,56,13,43,80,70,10
E00016699,Total,135,46,15,31,89,80,9
E00016702,Total,150,40,14,26,110,92,18
E00016707,Total,245,65,18,47,180,146,34
E00016711,Total,166,49,16,33,117,88,29
E00016696,Total,121,56,20,36,65,58,7
E00016698,Total,145,46,14,32,99,85,14
E00016703,Total,98,42,11,31,56,46,10
E00016713,Total,241,67,25,42,174,141,33
E00165804,Total,120,50,15,35,70,60,10
