OA11CD,Total,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,8. Process plant and machine operatives,9. Elementary occupations
E00016403,145,9,29,20,11,14,24,10,9,19
E00016437,184,8,18,13,21,18,39,17,10,40
E00016439,157,5,24,20,15,13,25,10,15,30
E00016442,135,10,17,11,11,15,17,13,10,31
E00016399,158,3,18,12,23,14,25,25,3,35
E00016401,165,12,53,31,17,4,12,10,5,21
E00016406,112,9,21,9,14,6,13,13,7,20
E00016435,160,15,19,19,17,20,18,19,7,26
E00016395,152,7,31,11,12,19,13,16,10,33
E00016404,206,20,35,38,23,14,18,12,8,38
E00016405,200,22,43,30,22,16,14,16,8,29
E00016408,117,17,34,22,11,3,8,3,4,15
E00016410,219,24,41,46,21,16,11,13,7,40
E00016438,183,24,44,25,22,14,13,10,7,24
E00016398,130,7,34,20,14,8,13,7,8,19
E00016431,121,9,23,23,21,6,13,6,6,14
E00016432,199,10,54,35,24,16,22,13,6,19
E00016434,168,7,25,25,20,11,23,21,15,21
E00173943,155,16,36,26,19,5,13,14,6,20
E00173946,250,32,85,57,23,9,8,12,7,17
E00016397,331,26,96,88,41,15,9,18,8,30
E00016433,153,14,16,36,12,14,13,15,8,25
E00016436,101,7,17,23,12,10,13,6,4,9
E00016440,114,5,19,14,16,6,16,13,5,20
E00016441,206,14,36,36,20,9,21,23,14,33
E00016412,190,18,39,28,16,16,9,18,8,38
E00016414,150,7,15,12,18,20,21,22,6,29
E00016418,196,19,37,42,19,9,16,19,4,31
E00016422,111,4,15,9,9,17,22,7,5,23
E00016402,112,6,9,7,14,8,28,3,6,31
E00016407,146,15,39,20,16,5,12,11,6,22
E00016409,159,10,24,29,15,12,29,7,6,27
E00016411,210,19,60,26,23,12,20,17,6,27
E00016413,108,9,9,12,14,11,13,11,11,18
E00016415,130,14,21,7,13,21,12,7,9,26
E00016416,93,8,5,9,10,14,18,6,7,16
E00016419,137,11,17,9,14,22,21,9,2,32
E00016420,105,6,15,7,7,13,18,15,10,14
E00173947,126,1,14,16,12,9,22,25,3,24
E00173948,163,12,30,17,18,20,15,18,6,27
E00016417,116,8,18,8,10,11,23,15,4,19
E00016421,108,7,11,5,2,6,26,19,5,27
E00016423,122,8,15,11,14,11,15,16,6,26
E00016424,105,11,3,8,8,15,18,13,8,21
E00016427,72,1,7,3,4,5,17,9,9,17
E00016396,102,10,19,7,10,11,14,5,4,22
E00016426,138,8,19,19,11,6,24,13,10,28
E00016428,195,14,30,35,16,20,23,19,4,34
E00016429,140,15,45,30,14,7,4,7,3,15
E00016430,105,6,10,9,13,8,20,12,7,20
E00016680,147,11,21,25,16,15,11,25,6,17
E00016716,187,22,32,21,14,14,21,16,7,40
E00016717,112,10,20,14,11,7,9,10,7,24
E00016719,110,4,13,13,13,10,15,17,3,22
E00016720,170,18,27,19,15,13,17,17,10,34
E00016725,119,5,25,21,12,12,12,13,1,18
E00016706,103,9,15,11,10,8,17,8,6,19
E00016708,139,10,36,16,10,9,14,9,5,30
E00016709,187,15,29,37,10,15,28,23,6,24
E00016714,132,12,22,18,15,5,13,15,2,30
E00016715,180,19,28,51,22,8,10,17,4,21
E00016675,145,9,23,18,28,18,16,11,3,19
E00016677,201,25,40,15,19,13,21,29,4,35
E00016683,211,20,50,33,34,20,9,11,3,31
E00016697,143,7,23,16,13,12,23,18,9,22
E00173940,197,13,43,23,24,23,18,15,10,28
E00173949,266,28,69,25,28,23,26,22,8,37
E00016684,144,12,24,22,20,12,14,10,6,24
E00016687,116,21,26,14,18,11,11,3,2,10
E00016694,146,12,28,19,18,9,13,22,8,17
E00016718,98,2,12,9,9,15,15,14,5,17
E00016721,99,7,9,6,11,4,18,14,5,25
E00016723,117,5,8,15,12,6,22,12,6,31
E00016679,106,4,27,10,16,7,13,8,9,12
E00016689,143,13,35,19,20,7,16,9,4,20
E00016693,144,12,23,25,8,13,15,14,9,25
E00016701,122,11,27,17,20,9,10,8,7,13
E00173939,84,2,13,6,13,6,12,6,4,22
E00016210,141,12,20,18,15,11,12,21,5,27
E00016239,180,6,21,30,22,16,17,18,15,35
E00016240,79,5,12,2,7,6,14,10,7,16
E00016241,138,6,26,17,11,13,18,11,14,22
E00016245,108,7,22,13,14,5,15,4,9,19
E00016211,109,16,11,17,10,10,13,10,6,16
E00016213,173,12,32,33,20,7,20,22,9,18
E00016244,224,18,46,33,31,19,15,26,5,31
E00016250,134,20,24,14,27,5,9,13,4,18
E00174011,79,10,4,15,19,2,6,11,2,10
E00174032,262,29,25,45,25,9,40,39,3,47
E00174033,57,1,7,18,5,3,10,3,3,7
E00016216,232,21,66,68,22,15,12,13,1,14
E00016236,245,26,61,54,16,18,20,11,4,35
E00016246,160,12,35,24,16,13,19,16,4,21
E00016248,220,32,66,62,16,11,15,11,2,5
E00016252,207,17,55,50,23,11,17,14,1,19
E00016214,222,20,45,57,25,10,24,16,5,20
E00016215,199,20,43,37,24,18,16,12,7,22
E00016217,226,32,57,51,25,19,13,9,4,16
E00016237,154,12,32,18,19,18,20,10,4,21
E00016247,163,17,48,40,20,3,8,7,6,14
E00016253,167,18,31,24,20,15,21,10,7,21
E00016209,205,18,32,39,16,19,30,15,6,30
E00016235,192,17,47,48,20,12,12,8,5,23
E00016238,235,15,47,56,19,21,21,23,4,29
E00173941,219,14,24,52,24,9,21,31,4,40
E00173942,135,8,27,31,11,15,17,10,0,16
E00016881,110,7,15,16,10,13,19,14,1,15
E00016915,131,9,16,14,5,22,15,13,7,30
E00016916,122,6,19,17,10,8,19,6,5,32
E00016920,113,2,16,12,8,13,22,13,9,18
E00173950,133,7,16,25,23,15,10,13,3,21
E00173951,128,10,20,19,23,7,17,8,9,15
E00016921,138,15,17,11,10,13,21,17,6,28
E00016922,159,15,40,28,13,15,11,14,5,18
E00016923,201,16,67,38,12,15,17,8,4,24
E00016925,280,38,87,57,18,24,19,14,4,19
E00016926,167,15,33,26,13,16,30,15,8,11
E00016917,282,20,51,77,33,14,14,21,5,47
E00016918,245,15,59,71,29,8,8,16,2,37
E00016919,194,13,46,45,25,16,20,10,3,16
E00016924,240,24,74,48,22,11,18,18,4,21
E00016927,179,23,53,40,18,9,8,14,5,9
E00016879,248,37,70,59,14,11,22,9,8,18
E00016884,194,16,53,50,13,10,14,13,5,20
E00016886,213,26,58,49,24,10,18,8,10,10
E00016893,196,25,55,43,18,10,9,13,6,17
E00016885,165,21,38,34,18,15,10,5,4,20
E00016887,122,11,36,31,15,9,4,5,1,10
E00016889,137,12,30,25,13,16,12,13,3,13
E00016890,136,10,25,21,20,14,13,7,7,19
E00016895,166,29,43,39,9,9,9,4,6,18
E00016159,150,31,49,27,12,12,10,3,3,3
E00016173,166,23,52,42,16,6,9,9,3,6
E00016176,208,41,76,47,18,1,8,9,0,8
E00016184,176,16,62,37,26,3,12,8,2,10
E00016186,184,27,57,41,27,8,7,6,0,11
E00016188,165,30,53,33,16,5,8,8,3,9
E00016164,139,13,34,13,17,15,13,12,10,12
E00016170,131,10,30,19,12,16,11,13,5,15
E00016175,169,24,47,25,13,9,17,8,5,21
E00016181,157,14,31,17,23,13,23,12,4,20
E00016182,202,31,75,40,19,3,13,8,2,11
E00016162,152,11,68,31,19,7,6,7,1,2
E00016198,143,23,42,23,15,8,12,6,1,13
E00016202,107,10,12,13,9,13,16,12,5,17
E00016205,181,34,78,40,15,1,7,3,0,3
E00016208,144,16,50,24,12,14,9,9,2,8
E00016199,133,7,33,20,16,10,18,10,4,15
E00016200,66,4,9,4,4,3,14,9,4,15
E00016201,54,1,4,3,2,4,7,9,8,16
E00016203,75,2,14,2,10,7,10,8,8,14
E00016207,132,14,31,17,25,6,12,10,7,10
E00016163,176,23,55,40,9,21,9,13,2,4
E00016165,149,22,40,44,13,13,6,3,2,6
E00016168,136,22,45,45,9,2,6,1,0,6
E00016169,138,29,45,29,9,5,9,3,1,8
E00016172,144,12,43,21,21,10,2,16,9,10
E00016177,138,20,48,36,13,3,3,4,3,8
E00016219,146,13,36,38,13,6,12,5,5,18
E00016220,176,13,65,42,15,5,15,13,2,6
E00016221,181,22,54,45,20,7,15,6,1,11
E00016223,132,15,41,25,18,7,9,3,3,11
E00016225,170,21,48,44,12,11,14,8,0,12
E00016255,174,20,65,30,23,6,11,6,0,13
E00016218,168,17,41,40,20,10,18,8,5,9
E00016222,196,26,31,49,19,11,18,13,10,19
E00016224,230,29,79,55,17,12,11,7,3,17
E00016226,163,26,44,32,14,11,17,7,0,12
E00016227,197,16,68,47,19,9,9,10,6,13
E00016228,173,28,52,27,20,8,17,8,2,11
E00016229,241,25,73,53,24,10,15,11,6,24
E00016230,189,15,38,40,27,14,17,7,8,23
E00016231,155,12,23,32,22,22,11,11,4,18
E00016232,163,16,35,28,15,16,12,12,8,21
E00016233,173,6,35,21,27,20,23,17,5,19
E00016212,172,9,46,28,30,11,7,19,10,12
E00016249,97,8,17,15,14,9,15,8,3,8
E00016254,186,27,51,40,13,11,14,13,1,16
E00173952,108,7,22,19,15,7,13,12,4,9
E00174016,132,5,39,32,18,9,5,11,2,11
E00174022,120,20,38,17,14,7,7,9,1,7
E00174008,182,21,82,53,11,3,3,4,2,3
E00174010,166,19,70,35,11,6,4,9,1,11
E00174013,179,18,59,52,16,2,8,12,0,12
E00174015,154,27,52,48,12,5,1,6,0,3
E00174025,181,28,77,38,17,5,2,10,1,3
E00174027,127,23,44,34,9,5,6,3,1,2
E00016178,108,9,30,19,9,6,8,11,2,14
E00016179,151,20,46,31,15,3,11,11,7,7
E00016180,135,25,38,31,11,4,11,6,2,7
E00016187,173,33,68,36,9,4,11,4,2,6
E00016189,174,38,75,31,11,1,3,5,2,8
E00016166,127,20,51,32,7,1,5,6,1,4
E00016167,139,29,57,38,7,1,2,3,1,1
E00016171,223,26,76,64,21,9,5,11,2,9
E00016174,152,34,54,42,12,3,2,2,0,3
E00016204,157,22,60,36,6,6,4,10,6,7
E00016206,161,26,53,28,22,10,4,6,4,8
E00016160,146,19,59,26,21,5,5,4,2,5
E00016183,165,35,60,38,19,2,4,3,3,1
E00016185,127,23,59,24,12,2,1,3,0,3
E00016191,142,23,55,37,12,4,4,3,3,1
E00016195,143,25,53,32,14,6,5,5,3,0
E00016197,197,18,57,47,31,7,14,9,1,13
E00016161,213,17,66,61,26,6,12,5,4,16
E00016190,107,11,28,13,10,9,12,3,8,13
E00016192,165,12,44,29,22,8,11,14,5,20
E00016193,179,16,66,32,27,6,15,6,2,9
E00016194,162,12,43,29,20,11,16,7,3,21
E00016196,195,20,52,42,24,5,17,9,7,19
E00016905,144,7,32,17,17,6,29,5,15,16
E00016907,139,9,18,16,16,13,31,11,10,15
E00016908,88,2,13,9,17,14,2,9,6,16
E00016910,109,4,10,17,7,9,22,5,12,23
E00016912,76,9,10,9,6,5,5,8,10,14
E00016909,176,3,20,23,13,10,58,16,5,28
E00016911,182,16,26,15,29,15,27,17,14,23
E00016913,187,10,22,14,29,17,36,23,9,27
E00016914,136,8,12,8,27,17,26,12,8,18
E00016896,194,20,64,35,24,12,13,9,1,16
E00016898,173,13,46,46,19,7,7,14,4,17
E00016900,197,23,55,45,26,8,17,7,5,11
E00016901,103,6,16,25,20,6,10,9,3,8
E00016904,146,17,31,18,31,11,14,10,5,9
E00016906,154,19,34,26,17,17,13,8,7,13
E00016883,207,16,54,52,12,20,18,13,7,15
E00016888,175,20,42,43,18,12,17,4,2,17
E00016891,243,24,50,79,24,9,19,16,8,14
E00016892,181,15,52,40,19,15,11,9,2,18
E00016894,223,15,53,40,17,25,24,16,2,31
E00016880,155,10,28,30,20,13,20,12,9,13
E00016897,251,24,48,69,30,14,21,23,4,18
E00016899,214,23,52,46,23,18,11,7,16,18
E00016902,183,18,35,59,23,14,6,11,6,11
E00016903,210,30,45,35,31,19,16,8,4,22
E00016564,161,16,45,21,16,10,15,14,10,14
E00016567,80,5,14,3,9,5,11,12,10,11
E00016569,164,18,41,23,17,23,15,10,5,12
E00016571,184,20,62,43,16,6,11,9,9,8
E00173700,143,10,35,22,12,2,9,8,3,42
E00173702,148,14,30,15,8,9,13,22,2,35
E00016558,151,15,42,36,13,9,9,12,2,13
E00016561,161,19,35,39,17,8,13,11,6,13
E00016566,137,11,29,26,24,10,7,11,5,14
E00016568,184,23,59,52,10,11,6,10,2,11
E00016572,183,16,64,42,16,13,8,8,2,14
E00016575,176,17,51,49,19,6,15,7,6,6
E00016557,116,9,26,22,13,6,14,8,2,16
E00016559,198,15,30,31,17,24,18,19,10,34
E00016560,224,16,37,46,28,26,13,15,14,29
E00016562,203,33,57,31,16,16,10,6,9,25
E00016563,161,15,40,29,13,16,11,8,6,23
E00016565,191,17,49,30,20,18,21,7,8,21
E00016544,169,20,48,24,26,5,13,9,4,20
E00016574,185,17,49,28,18,15,22,14,6,16
E00016576,184,22,65,27,19,8,12,17,5,9
E00016577,196,20,56,41,19,17,15,11,5,12
E00016578,169,17,50,34,20,12,13,8,6,9
E00016635,228,30,50,42,22,18,17,18,3,28
E00016640,105,12,16,16,19,9,7,9,6,11
E00016641,151,9,22,18,14,10,18,26,8,26
E00016642,168,16,30,19,22,16,21,16,11,17
E00016643,139,17,23,15,26,12,9,12,2,23
E00016630,188,23,54,35,16,13,8,13,5,21
E00016647,194,22,27,40,19,11,18,17,7,33
E00016648,199,25,35,50,25,13,9,17,7,18
E00016649,151,12,28,31,18,11,7,16,4,24
E00016651,190,22,56,33,17,15,15,8,6,18
E00016629,148,10,23,28,14,16,9,14,8,26
E00016650,148,21,29,31,9,14,10,16,3,15
E00016652,102,6,13,16,8,15,14,12,3,15
E00016654,87,4,10,11,14,11,8,6,8,15
E00016657,110,11,14,14,16,9,11,9,3,23
E00016633,115,9,21,16,10,13,7,19,1,19
E00016636,167,11,64,26,19,9,9,8,4,17
E00016638,111,13,40,12,8,12,1,8,6,11
E00016639,185,15,41,18,28,18,15,19,6,25
E00016674,167,24,40,33,13,10,13,12,5,17
E00174018,284,26,123,56,30,14,6,15,1,13
E00174019,78,12,17,10,9,8,5,4,2,11
E00174021,68,3,35,8,4,0,3,8,1,6
E00016628,195,12,44,44,24,14,15,19,4,19
E00016637,228,25,49,35,18,19,22,15,7,38
E00174024,166,19,39,40,14,6,7,18,2,21
E00174029,157,18,29,37,21,11,13,10,4,14
E00174030,123,13,35,26,15,11,9,7,1,6
E00016644,218,17,39,28,19,26,21,26,9,33
E00016645,203,16,59,41,19,13,21,15,4,15
E00016646,191,20,33,32,18,20,18,14,10,26
E00016584,385,47,109,78,36,24,25,31,13,22
E00016596,175,18,57,28,21,13,15,3,4,16
E00016598,263,31,86,34,32,20,15,13,12,20
E00016623,262,49,76,51,28,8,17,15,11,7
E00174036,105,11,32,11,13,6,8,8,1,15
E00174038,293,23,69,74,24,11,23,30,0,39
E00016585,145,15,44,25,17,12,11,6,3,12
E00016593,278,34,90,58,13,17,23,17,5,21
E00016600,213,41,85,47,9,7,8,4,6,6
E00016602,189,29,75,40,12,9,9,8,1,6
E00016624,167,20,47,41,12,12,11,9,6,9
E00016625,196,23,67,41,16,11,14,8,4,12
E00016587,208,28,59,43,21,3,19,14,11,10
E00016594,195,20,53,48,19,11,18,7,6,13
E00016605,240,26,63,38,29,19,15,15,6,29
E00016608,127,16,32,29,18,6,11,5,0,10
E00016626,186,27,52,32,26,17,14,6,4,8
E00016589,133,16,25,27,19,8,16,9,3,10
E00016595,91,5,12,7,9,12,9,11,5,21
E00016597,78,8,10,6,5,8,12,6,9,14
E00016599,151,9,43,30,14,13,9,13,6,14
E00016601,128,12,23,14,9,8,23,15,8,16
E00016607,107,12,28,13,18,9,14,4,3,6
E00016573,196,25,66,51,15,9,8,4,5,13
E00016579,177,20,46,37,10,17,12,7,4,24
E00016580,222,24,66,28,25,18,18,12,8,23
E00016581,241,29,59,41,20,13,24,17,6,32
E00016582,231,19,49,52,23,23,20,18,4,23
E00016546,200,19,60,42,19,12,15,18,5,10
E00016547,257,30,81,45,34,13,15,15,7,17
E00016548,183,29,47,37,17,10,18,8,9,8
E00016550,205,17,48,25,30,20,18,16,4,27
E00016583,128,16,44,12,19,12,4,10,6,5
E00016542,164,15,31,20,22,13,17,14,15,17
E00016552,122,11,19,14,15,13,8,15,8,19
E00016554,157,11,55,18,17,13,14,10,5,14
E00016555,108,11,15,5,11,15,19,9,8,15
E00016556,163,22,27,21,20,16,19,17,10,11
E00016543,194,14,63,45,20,7,11,13,5,16
E00016545,158,17,40,15,26,7,25,6,5,17
E00016549,205,20,65,31,28,19,16,11,6,9
E00016551,206,30,64,27,24,13,14,6,12,16
E00016553,191,17,44,25,26,17,16,13,7,26
E00016335,137,22,31,30,15,6,9,7,4,13
E00016336,174,21,37,30,22,11,18,6,7,22
E00016339,174,20,49,25,27,20,16,5,5,7
E00016340,190,21,54,35,24,14,12,14,3,13
E00016341,164,17,45,32,18,8,10,16,8,10
E00016309,161,15,57,34,14,4,15,5,4,13
E00016323,116,5,23,36,12,8,11,8,5,8
E00016324,223,16,63,36,30,18,15,15,10,20
E00016325,183,13,39,36,20,29,11,12,11,12
E00016327,171,21,39,37,16,11,15,8,5,19
E00016326,172,12,44,35,22,14,17,12,4,12
E00016329,190,14,56,42,18,12,16,5,5,22
E00016332,188,21,46,22,30,22,18,8,7,14
E00016333,156,22,45,22,24,12,10,8,7,6
E00016337,181,22,39,34,24,16,19,12,9,6
E00016311,173,9,51,32,22,13,12,12,8,14
E00016328,173,26,59,39,14,6,13,9,3,4
E00016330,125,6,32,22,28,10,8,8,1,10
E00016331,183,17,49,37,24,10,17,10,6,13
E00016334,242,26,76,39,20,13,20,19,12,17
E00016613,224,27,59,28,44,14,16,16,5,15
E00016614,146,10,23,19,14,15,16,19,8,22
E00016615,170,18,38,35,17,19,13,10,8,12
E00016618,99,7,18,7,19,8,12,8,5,15
E00016621,99,9,17,10,14,11,12,12,3,11
E00016609,148,19,39,17,23,20,11,11,8,0
E00016617,172,17,52,29,18,20,9,11,5,11
E00016619,152,26,50,19,22,11,10,3,1,10
E00016620,164,34,29,26,25,14,12,9,8,7
E00016622,127,11,27,28,15,6,16,11,7,6
E00016588,191,25,56,38,22,10,16,7,3,14
E00016592,211,23,69,25,44,12,13,14,4,7
E00016604,101,10,28,16,17,8,6,4,3,9
E00016611,140,14,38,30,26,11,7,5,4,5
E00016612,110,14,26,16,21,6,13,5,5,4
E00016616,152,17,35,19,17,12,11,12,6,23
E00016590,237,28,73,43,29,21,16,8,2,17
E00016591,165,33,56,24,16,8,7,13,4,4
E00016603,266,37,108,47,24,16,12,4,8,10
E00016606,237,23,95,54,21,7,11,11,7,8
E00016610,182,20,42,53,25,12,10,7,3,10
E00016653,175,19,51,42,16,7,9,7,8,16
E00016655,175,13,38,29,30,10,18,15,2,20
E00016656,182,12,35,32,30,17,12,17,1,26
E00016662,158,16,47,39,17,9,8,14,5,3
E00016664,223,24,69,41,39,13,12,13,3,9
E00016631,176,19,44,40,15,10,10,10,4,24
E00016658,114,11,18,16,15,11,18,8,7,10
E00016659,123,9,38,21,13,5,10,6,8,13
E00016660,174,14,36,35,26,14,16,12,7,14
E00016663,185,15,42,30,24,17,15,16,5,21
E00016632,155,20,27,41,19,13,10,10,4,11
E00016666,150,15,30,24,14,16,16,12,9,14
E00016667,212,18,62,29,23,15,18,19,6,22
E00016669,109,3,33,20,14,8,8,8,2,13
E00016673,162,12,40,22,13,12,25,13,6,19
E00016668,123,8,31,30,18,8,10,7,2,9
E00016670,125,13,33,13,19,11,4,13,3,16
E00016671,81,6,16,14,12,7,5,9,2,10
E00016672,171,17,29,22,31,8,21,20,7,16
E00173708,117,17,31,40,12,7,5,3,0,2
E00173710,145,10,50,29,19,9,5,10,5,8
E00016661,160,12,41,24,21,13,16,12,6,15
E00173936,114,6,21,24,14,7,13,16,6,7
E00173937,154,26,52,40,13,3,5,7,1,7
E00173938,230,25,74,60,25,12,10,4,7,13
E00174035,171,21,58,52,19,5,6,5,1,4
E00016796,166,19,42,24,24,8,20,8,5,16
E00016799,187,18,37,20,25,12,21,21,9,24
E00016804,167,8,32,16,19,26,29,13,6,18
E00016805,161,11,16,15,21,19,21,21,13,24
E00016806,126,5,20,16,12,20,24,11,6,12
E00016781,119,8,25,22,16,7,13,11,4,13
E00016793,120,14,14,7,11,6,21,24,3,20
E00016794,100,11,18,9,16,7,10,6,4,19
E00016801,117,15,18,21,20,6,15,11,5,6
E00016803,111,10,17,20,13,6,24,8,2,11
E00016808,98,8,22,6,13,10,12,5,8,14
E00016813,167,20,46,24,24,11,12,14,3,13
E00016814,153,18,28,35,10,10,16,12,11,13
E00016815,134,8,34,18,14,13,20,8,11,8
E00016818,140,8,28,17,19,6,15,20,7,20
E00016819,123,9,29,14,15,14,13,10,4,15
E00016778,171,18,45,24,21,12,16,9,6,20
E00016788,124,14,14,24,19,7,14,15,5,12
E00016791,143,8,38,28,13,8,14,13,3,18
E00016800,106,7,16,16,13,14,12,11,3,14
E00016820,109,13,18,10,15,7,14,12,8,12
E00016823,113,5,21,19,8,9,22,8,5,16
E00016300,190,14,42,45,25,18,9,7,2,28
E00016310,143,14,32,27,17,14,17,11,3,8
E00016312,199,31,53,51,20,7,13,7,4,13
E00016343,210,25,70,34,17,19,19,8,6,12
E00016344,277,39,79,42,32,17,15,18,14,21
E00016301,223,45,56,51,18,12,16,10,4,11
E00016302,147,18,42,31,12,14,6,10,7,7
E00016316,175,15,78,24,14,7,7,6,10,14
E00016338,228,24,73,44,28,12,16,15,4,12
E00016342,158,23,51,31,18,10,7,8,2,8
E00016303,215,30,67,46,33,7,11,6,6,9
E00016304,215,25,80,45,20,12,10,9,3,11
E00016313,143,18,52,28,10,10,8,5,1,11
E00016318,161,14,57,44,13,10,10,4,3,6
E00016345,154,23,53,31,22,6,3,5,3,8
E00016307,154,12,30,26,16,12,17,20,6,15
E00016314,119,4,26,21,17,8,10,13,4,16
E00016319,98,7,13,12,19,10,11,9,7,10
