OA11CD,Total,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,8. Process plant and machine operatives,9. Elementary occupations
E00016321,158,21,40,30,13,12,11,11,7,13
E00016322,174,18,36,34,29,16,11,11,5,14
E00016305,135,14,29,22,17,10,7,11,8,17
E00016306,169,18,40,29,22,12,15,10,9,14
E00016308,157,18,29,24,15,17,18,14,7,15
E00016315,230,22,50,52,31,17,23,18,5,12
E00016317,152,18,36,20,20,13,11,11,9,14
E00016320,153,17,39,26,25,8,9,7,6,16
E00016779,122,13,15,8,14,8,13,10,7,34
E00016789,185,18,40,38,17,23,17,13,7,12
E00016797,208,20,55,23,31,24,15,14,16,10
E00016798,173,17,27,21,20,15,21,12,23,17
E00016821,191,18,48,28,22,13,18,18,7,19
E00016780,184,25,25,21,23,26,19,25,5,15
E00016782,199,14,48,26,24,26,23,9,6,23
E00016790,76,6,20,10,8,5,7,8,0,12
E00016792,170,19,22,21,22,19,19,18,6,24
E00016795,143,13,23,22,19,15,10,24,8,9
E00016783,181,15,31,28,32,19,22,10,14,10
E00016802,193,12,46,25,22,22,15,18,9,24
E00016807,219,12,26,26,15,40,49,14,10,27
E00016809,182,8,46,37,24,17,10,15,8,17
E00016810,197,16,25,29,13,23,20,26,6,39
E00016784,135,17,28,13,13,11,17,12,11,13
E00016811,168,12,29,28,21,23,18,10,8,19
E00016812,168,11,40,28,18,12,15,16,7,21
E00016816,101,10,18,13,13,14,11,8,6,8
E00016817,127,10,24,18,19,11,9,8,10,18
E00016785,84,7,18,19,4,8,9,6,2,11
E00016786,125,10,23,22,15,8,16,7,7,17
E00016787,180,8,12,19,22,12,18,25,19,45
E00016822,152,9,21,19,16,15,20,22,10,20
E00016824,125,8,28,15,17,8,17,14,7,11
E00016445,165,16,56,36,19,3,14,10,2,9
E00016448,184,21,66,30,21,16,15,7,5,3
E00016452,167,29,59,32,19,4,11,2,4,7
E00016454,150,22,65,27,9,7,7,3,4,6
E00016455,142,18,40,24,16,13,10,7,2,12
E00016446,222,29,63,68,25,10,7,2,2,16
E00016453,117,9,32,29,13,5,10,3,6,10
E00016456,160,15,51,47,13,7,9,8,2,8
E00016457,191,26,55,49,18,12,8,11,2,10
E00016462,169,16,64,41,16,7,15,3,2,5
E00173944,190,22,40,53,16,18,7,11,9,14
E00173945,156,18,53,30,15,13,9,6,2,10
E00016444,177,19,44,34,16,15,10,18,8,13
E00016484,220,37,69,53,10,12,10,13,1,15
E00016485,107,7,18,14,10,12,13,7,9,17
E00016488,158,18,60,25,17,5,8,5,4,16
E00016489,244,19,59,38,36,23,21,28,9,11
E00016443,178,19,70,37,24,4,7,10,2,5
E00016483,147,9,54,29,19,10,11,7,4,4
E00016486,194,19,54,38,24,12,16,15,7,9
E00016487,134,17,32,25,13,14,12,7,5,9
E00016491,141,5,48,27,13,10,11,12,5,10
E00016449,152,18,49,25,19,3,8,11,5,14
E00016450,130,16,34,25,15,8,15,7,2,8
E00016451,182,15,65,35,15,12,20,10,1,9
E00016490,160,18,43,35,26,10,10,4,4,10
E00016492,117,8,22,23,16,16,10,7,4,11
E00016281,164,17,29,26,24,14,16,17,7,14
E00016290,141,10,33,17,23,10,14,13,8,13
E00016292,154,14,30,20,23,23,6,12,8,18
E00016293,163,13,37,26,27,14,16,13,9,8
E00016295,177,23,34,24,29,20,15,17,4,11
E00016258,181,14,50,14,37,18,15,13,8,12
E00016259,155,12,39,24,25,10,18,10,9,8
E00016298,221,21,46,31,25,25,23,20,10,20
E00016299,191,19,51,25,26,12,20,18,11,9
E00016274,132,11,34,21,19,10,13,12,4,8
E00016276,184,12,44,25,17,22,20,13,11,20
E00016277,166,11,55,15,21,10,16,14,8,16
E00016278,152,21,31,30,13,8,17,19,4,9
E00016285,139,17,37,20,15,10,8,13,4,15
E00016256,141,10,20,14,22,16,24,8,11,16
E00016284,156,18,42,19,24,8,12,12,6,15
E00016286,168,25,42,20,27,12,11,18,7,6
E00016296,151,16,34,21,11,16,12,14,8,19
E00016297,139,18,28,14,18,11,12,22,8,8
E00016275,177,16,34,28,22,12,23,15,9,18
E00016279,156,16,29,17,27,16,18,13,9,11
E00016280,131,9,39,19,18,10,14,10,5,7
E00016283,191,21,51,30,29,11,12,13,10,14
E00016287,170,9,29,22,26,16,20,19,10,19
E00016513,157,16,21,14,31,21,17,9,11,17
E00016514,93,9,14,16,16,10,7,7,4,10
E00016515,120,14,22,25,13,9,10,12,3,12
E00016516,108,6,19,14,15,13,18,8,6,9
E00016519,127,13,37,25,16,8,9,4,8,7
E00016521,114,14,15,11,16,20,6,10,7,15
E00016493,184,13,43,30,22,17,24,17,9,9
E00016499,154,19,22,30,20,20,16,16,5,6
E00016502,142,19,29,22,20,16,13,11,3,9
E00016503,124,17,28,34,11,10,8,5,2,9
E00016507,143,14,29,27,19,17,7,11,4,15
E00016540,154,17,30,31,25,14,12,11,10,4
E00016498,295,27,62,47,44,35,25,23,9,23
E00016500,119,13,16,19,13,14,13,8,8,15
E00016505,149,16,31,21,21,12,12,15,6,15
E00016541,191,22,60,33,16,16,11,11,7,15
E00016494,202,14,59,27,34,18,13,12,7,18
E00016495,143,12,33,28,23,10,9,10,9,9
E00016501,209,28,36,24,38,23,24,12,12,12
E00016508,172,16,41,20,33,12,20,10,11,9
E00016511,187,26,35,22,24,18,27,14,10,11
E00016504,159,21,47,25,21,9,12,7,6,11
E00016506,194,21,42,29,30,21,16,15,7,13
E00016509,210,27,39,33,34,24,16,14,11,12
E00016510,151,12,26,30,32,11,15,7,6,12
E00016512,187,17,49,33,18,16,15,13,8,18
E00016750,159,15,53,46,9,10,9,8,1,8
E00016752,178,24,44,21,30,19,8,10,6,16
E00016753,136,11,36,28,11,12,12,11,4,11
E00016758,117,10,30,16,12,10,13,10,4,12
E00016763,186,25,51,25,19,21,14,11,7,13
E00016738,229,33,49,45,20,17,24,23,11,7
E00016739,152,22,41,28,21,7,14,8,3,8
E00016740,198,25,46,39,14,15,14,24,8,13
E00016749,155,21,48,29,14,8,13,5,5,12
E00016755,197,20,41,20,22,25,18,16,10,25
E00016745,226,23,50,54,43,16,9,16,8,7
E00016746,204,22,59,41,23,14,12,15,9,9
E00016751,161,15,48,22,18,8,12,10,8,20
E00016754,167,17,50,27,22,13,9,6,5,18
E00016757,170,14,62,30,12,12,17,7,6,10
E00016732,215,19,59,54,20,13,20,15,8,7
E00016735,176,21,54,29,13,14,18,8,10,9
E00016741,147,12,47,36,19,4,12,5,3,9
E00016742,179,15,51,49,13,6,14,15,7,9
E00016733,173,30,37,35,25,18,11,7,3,7
E00016734,145,19,36,31,20,11,11,7,3,7
E00016743,177,20,57,28,20,13,18,8,5,8
E00016744,187,23,56,18,24,16,14,6,11,19
E00016747,123,9,32,27,17,12,10,7,1,8
E00016261,168,16,37,17,22,13,16,29,4,14
E00016282,182,20,36,41,17,12,16,19,3,18
E00016288,224,15,47,31,32,20,25,25,8,21
E00016289,180,25,33,22,19,17,16,22,10,16
E00016294,151,18,34,17,29,11,12,14,5,11
E00016260,191,22,40,28,26,17,17,13,11,17
E00016262,124,10,17,18,22,13,10,11,14,9
E00016266,182,13,33,24,30,13,27,14,9,19
E00016267,131,11,23,20,21,14,11,15,3,13
E00016271,189,17,34,23,30,17,22,21,11,14
E00016257,200,20,56,29,29,18,19,12,5,12
E00016263,106,9,31,15,14,5,8,11,3,10
E00016265,197,27,42,23,18,13,19,20,8,27
E00016268,201,24,34,28,25,22,19,21,8,20
E00016291,178,21,37,28,24,6,18,16,9,19
E00016264,134,12,32,14,23,16,10,14,7,6
E00016269,163,18,45,23,21,13,9,15,6,13
E00016270,149,11,32,23,25,13,14,11,8,12
E00016272,172,14,35,15,21,20,16,14,16,21
E00016273,205,12,50,26,15,33,21,20,10,18
E00016930,267,13,33,23,50,35,38,24,22,29
E00016946,159,9,29,25,29,19,18,8,9,13
E00016952,104,5,12,11,15,13,16,11,11,10
E00016964,117,8,14,9,16,14,8,17,11,20
E00016929,105,5,22,7,19,13,13,9,7,10
E00016931,100,15,13,8,17,11,11,11,3,11
E00016932,103,8,9,6,14,21,17,11,11,6
E00016954,105,9,23,11,12,10,12,5,7,16
E00016961,129,8,20,12,8,23,14,21,9,14
E00016933,212,17,33,17,27,26,22,27,13,30
E00016953,70,8,11,9,6,5,12,2,6,11
E00016957,109,9,20,6,12,13,15,7,11,16
E00016960,103,4,6,9,16,16,15,10,9,18
E00016966,84,5,16,10,11,14,9,4,7,8
E00016940,129,13,19,21,15,13,12,13,6,17
E00016941,172,24,39,24,16,21,21,12,8,7
E00016942,130,12,22,23,20,14,11,7,9,12
E00016943,131,10,23,25,18,13,18,11,2,11
E00016944,141,12,18,25,22,16,13,12,11,12
E00016945,121,15,21,15,21,5,13,11,6,14
E00016728,94,7,12,10,9,8,14,13,5,16
E00016764,127,11,23,25,16,17,11,6,3,15
E00016766,128,8,25,14,10,14,15,15,8,19
E00016768,104,10,13,7,16,13,13,9,14,9
E00016772,167,20,43,31,19,14,12,12,6,10
E00016737,147,15,52,31,18,11,4,8,4,4
E00016748,114,14,22,16,15,10,11,8,4,14
E00016756,120,5,22,26,13,8,12,16,2,16
E00016760,142,8,32,36,16,9,18,7,7,9
E00173704,127,9,25,24,7,22,13,9,7,11
E00173705,88,7,21,11,10,18,5,8,1,7
E00173707,102,8,33,30,10,5,6,3,1,6
E00016729,141,27,44,29,10,6,9,9,1,6
E00016730,163,12,35,35,16,18,17,10,8,12
E00016759,168,21,53,33,14,13,13,8,4,9
E00016761,185,16,59,30,21,18,13,14,5,9
E00016762,144,14,26,23,19,15,14,10,10,13
E00016765,136,17,29,29,11,14,6,9,10,11
E00016767,129,12,43,28,11,7,8,5,9,6
E00016770,111,11,25,37,12,7,5,8,2,4
E00016771,208,17,60,41,31,10,8,20,13,8
E00016774,168,16,37,28,27,12,11,12,11,14
E00016777,206,21,57,53,19,18,12,11,10,5
E00016731,141,5,35,21,21,9,12,12,6,20
E00016769,164,12,35,30,22,12,9,10,15,19
E00016773,117,9,23,14,14,6,15,13,11,12
E00016775,109,13,10,9,18,10,13,9,15,12
E00016776,180,23,45,24,29,10,16,13,8,12
E00016460,169,17,35,25,17,6,23,14,8,24
E00016463,275,21,69,46,28,32,26,18,13,22
E00016467,166,25,46,26,20,14,11,7,8,9
E00016469,163,11,42,30,30,6,13,7,2,22
E00016471,87,6,14,12,5,7,13,14,5,11
E00016472,131,10,26,23,15,7,19,13,5,13
E00016447,157,18,39,28,20,11,7,11,7,16
E00016458,165,15,43,35,14,8,22,9,8,11
E00016459,119,17,39,29,13,10,3,2,3,3
E00016464,112,6,13,8,12,13,24,13,3,20
E00016465,83,7,14,12,13,6,8,7,8,8
E00016466,142,20,34,35,15,11,12,7,1,7
E00016475,81,5,16,9,7,7,14,3,8,12
E00016476,125,7,19,14,19,15,16,17,8,10
E00016478,88,9,28,16,9,4,6,4,5,7
E00016479,83,3,17,11,6,8,6,15,4,13
E00016480,104,4,8,14,14,15,17,7,6,19
E00016482,101,10,21,9,18,11,12,5,2,13
E00016468,109,14,36,24,10,10,4,2,2,7
E00016470,116,19,38,19,16,5,8,3,3,5
E00016473,159,10,42,36,15,8,16,6,9,17
E00016474,132,17,37,18,13,11,10,10,6,10
E00016477,176,19,40,31,33,12,13,13,4,11
E00016481,201,21,53,46,18,14,12,14,5,18
E00016126,167,15,35,19,23,19,17,14,8,17
E00016127,198,13,36,21,32,25,26,10,15,20
E00016131,124,13,24,16,20,9,15,6,7,14
E00016134,94,7,18,4,12,9,15,6,12,11
E00016140,123,16,17,13,10,18,18,8,8,15
E00016118,188,20,32,28,29,22,20,13,9,15
E00016154,105,4,17,18,11,14,9,9,8,15
E00016155,201,16,27,26,32,8,26,21,16,29
E00016156,120,8,14,13,29,4,16,11,5,20
E00016157,165,13,21,18,21,24,24,16,11,17
E00016112,141,15,35,15,15,18,14,13,4,12
E00016119,156,15,30,27,30,7,14,12,8,13
E00016121,137,11,29,20,19,15,12,9,10,12
E00016123,148,7,34,15,27,15,13,16,10,11
E00016158,172,12,42,20,29,15,18,17,10,9
E00016113,150,8,14,20,25,14,23,13,12,21
E00016120,122,5,17,10,18,12,22,12,9,17
E00016122,140,10,22,8,20,17,18,9,13,23
E00016124,124,7,17,11,19,18,18,12,9,13
E00016125,147,5,16,23,14,17,19,15,12,26
E00016114,123,7,15,12,18,8,8,20,12,23
E00016128,126,8,14,12,20,8,19,12,10,23
E00016130,144,10,22,19,10,14,24,19,7,19
E00016133,131,9,16,13,12,17,14,17,12,21
E00016135,132,11,16,14,16,9,19,19,8,20
E00016948,135,8,11,17,10,12,28,16,7,26
E00016949,130,7,20,5,17,14,23,15,6,23
E00016951,127,4,17,20,16,13,14,16,7,20
E00016955,109,12,11,5,11,14,20,20,8,8
E00016956,95,4,15,10,8,10,21,5,9,13
E00016950,137,15,21,7,19,21,15,15,9,15
E00016967,123,8,23,11,23,10,15,9,11,13
E00016968,126,13,26,11,16,14,16,12,4,14
E00016969,102,6,10,9,18,13,9,12,8,17
E00016971,142,7,36,8,20,13,15,18,7,18
E00016928,167,12,18,20,21,25,22,22,11,16
E00016947,86,4,8,6,15,15,12,7,8,11
E00016958,138,7,20,14,19,22,16,12,7,21
E00016963,144,12,30,16,8,19,12,22,5,20
E00016937,168,12,30,20,36,15,13,17,8,17
E00016959,124,11,20,14,16,16,15,17,3,12
E00016962,167,2,19,21,11,21,32,18,12,31
E00016965,120,8,14,11,19,12,10,13,10,23
E00016970,156,9,25,12,17,9,32,21,9,22
E00016934,165,11,33,16,26,21,13,22,8,15
E00016935,196,11,23,25,37,40,12,20,14,14
E00016936,163,22,27,21,29,18,14,13,5,14
E00016938,144,15,28,10,15,18,16,16,6,20
E00016939,156,16,19,20,26,21,15,18,6,15
E00016496,142,13,31,26,25,14,8,8,5,12
E00016517,105,18,9,19,13,12,11,10,5,8
E00016518,127,10,24,18,21,10,13,17,9,5
E00016523,131,19,30,16,16,11,12,11,9,7
E00016524,155,17,32,20,20,17,18,9,6,16
E00016525,89,7,11,11,18,12,8,11,6,5
E00016497,117,8,22,18,12,9,12,13,7,16
E00016527,118,13,15,21,16,16,18,9,0,10
E00016528,126,18,21,18,16,9,12,8,3,21
E00016531,108,11,14,14,14,7,13,5,5,25
E00016532,102,8,11,14,12,9,14,10,5,19
E00016535,104,3,18,22,11,9,13,9,5,14
E00016520,95,2,6,11,15,17,6,10,9,19
E00016522,102,4,16,8,15,9,13,13,11,13
E00016526,83,6,15,9,9,6,11,11,5,11
E00016529,127,9,15,8,26,11,17,12,13,16
E00016530,109,7,14,6,15,19,17,14,7,10
E00016533,149,9,20,24,18,20,27,8,9,14
E00016534,133,4,23,13,24,21,15,8,10,15
E00016536,130,6,12,12,16,27,15,13,9,20
E00016537,121,9,17,15,17,11,13,16,10,13
E00016538,140,9,15,13,14,24,19,20,11,15
E00016539,117,7,13,12,19,16,12,9,12,17
E00016830,183,26,44,26,25,15,11,17,11,8
E00016839,162,24,38,34,19,11,12,11,7,6
E00016845,163,20,35,39,26,10,9,10,4,10
E00016872,176,24,49,28,16,12,20,12,8,7
E00016873,151,9,18,23,25,15,17,16,6,22
E00016838,110,8,14,9,20,8,17,15,3,16
E00016840,156,20,39,19,18,16,15,6,9,14
E00016847,85,7,13,5,6,12,16,12,4,10
E00016852,102,8,32,18,12,10,7,7,3,5
E00016858,74,3,10,5,7,6,22,7,2,12
E00016874,74,6,6,11,15,8,4,9,7,8
E00016826,120,11,22,11,17,8,12,13,9,17
E00016831,112,9,23,17,14,4,17,14,6,8
E00016832,100,12,27,11,8,14,11,6,4,7
E00016833,176,19,42,37,28,10,16,8,6,10
E00016875,109,7,22,7,17,14,16,7,5,14
E00016828,136,11,35,28,16,14,15,8,4,5
E00016850,98,6,23,16,15,4,11,6,9,8
E00016854,125,17,25,24,11,10,7,12,7,12
E00016855,158,19,47,29,20,14,9,9,3,8
E00016857,139,14,47,25,12,7,7,8,5,14
E00016878,95,7,13,7,15,9,16,8,6,14
E00016827,142,13,32,29,13,10,11,8,6,20
E00016834,168,16,33,26,22,11,16,13,11,20
E00016842,118,10,29,22,16,9,11,8,3,10
E00016856,240,23,56,54,34,13,16,15,6,23
E00016876,92,7,14,17,13,9,8,6,8,10
E00016877,82,8,16,10,12,4,18,5,4,5
E00016115,118,5,15,6,13,12,23,16,11,17
E00016136,104,10,15,10,12,7,14,12,9,15
E00016137,146,11,25,10,17,18,20,16,10,19
E00016138,122,7,21,16,15,12,15,12,9,15
E00016139,123,10,17,15,20,14,18,9,3,17
E00016116,183,22,44,30,28,10,21,12,3,13
E00016129,139,11,14,20,19,26,14,15,8,12
E00016142,120,6,13,6,13,24,16,10,7,25
E00016144,96,7,5,13,10,7,21,11,6,16
E00016145,125,7,9,33,5,10,27,11,6,17
E00016150,128,4,8,17,12,18,36,18,4,11
E00016117,115,10,15,12,21,10,11,9,8,19
E00016132,145,9,20,16,19,13,17,20,14,17
E00016143,128,10,18,15,16,20,14,8,9,18
E00016147,149,8,23,15,21,16,24,10,6,26
E00016153,125,6,15,12,15,14,16,20,12,15
E00016141,91,4,15,10,9,9,17,11,6,10
E00016146,96,3,12,12,10,10,13,14,6,16
E00016148,136,9,20,14,21,18,19,13,9,13
E00016149,119,5,10,8,14,6,27,16,9,24
E00016151,105,6,15,7,10,16,6,19,8,18
E00016152,109,3,19,9,15,13,13,14,7,16
E00016843,127,14,19,31,18,11,8,10,6,10
E00016863,180,16,43,24,27,18,12,14,5,21
E00016868,107,10,25,10,18,12,14,7,3,8
E00016870,165,10,49,31,19,10,12,12,9,13
E00016871,119,8,23,19,26,11,7,9,9,7
E00016848,128,21,37,30,6,5,11,7,6,5
E00016859,192,16,50,38,22,10,18,7,5,26
E00016861,225,22,46,36,13,27,20,17,8,36
E00016862,168,19,52,34,12,12,9,7,5,18
E00016866,168,31,32,24,16,16,15,7,2,25
E00016829,140,16,41,29,23,3,9,11,2,6
E00016851,170,15,61,37,19,9,11,5,6,7
E00016860,191,18,43,32,22,20,10,15,9,22
E00016864,140,13,33,16,19,16,21,6,7,9
E00016867,139,11,48,32,14,9,10,5,4,6
E00016869,93,10,22,18,10,9,11,3,6,4
E00016835,150,12,49,33,12,10,11,7,5,11
E00016837,143,10,37,21,18,10,16,9,12,10
E00016846,168,22,36,32,24,16,15,9,3,11
E00016849,108,15,16,18,5,14,11,4,5,20
E00016865,178,20,26,21,36,17,15,22,2,19
E00016825,109,10,13,11,7,10,19,14,6,19
E00016836,140,21,33,29,16,3,16,10,3,9
E00016841,146,14,17,25,13,16,32,11,2,16
E00016844,143,22,37,27,20,7,7,9,2,12
E00016853,92,6,11,10,12,7,20,9,5,12
E00016350,148,8,24,13,19,25,20,15,7,17
E00016369,108,7,16,16,13,13,17,5,2,19
E00016370,135,8,16,24,17,18,22,8,7,15
E00016371,99,10,17,12,7,13,12,16,7,5
E00016374,99,4,6,14,13,13,15,11,5,18
E00016352,116,7,9,15,16,17,14,13,9,16
E00016373,125,10,22,15,14,13,16,8,8,19
E00016378,111,7,20,9,9,15,16,8,11,16
E00016381,140,12,21,13,18,15,18,19,9,15
E00016382,97,6,16,8,12,14,13,17,3,8
E00016348,106,11,10,9,12,8,16,22,11,7
E00016372,133,7,8,11,21,15,26,12,16,17
E00016375,119,10,28,18,15,9,10,16,4,9
E00016377,113,8,10,13,15,17,16,10,7,17
E00016379,116,8,8,8,15,14,25,13,9,16
E00016349,115,7,15,20,17,10,20,6,8,12
E00016351,225,14,25,11,38,25,42,23,12,35
E00016376,115,8,15,10,16,17,15,10,10,14
E00016383,141,11,21,14,14,19,23,10,11,18
E00016356,144,10,14,15,20,18,16,19,10,22
E00016387,144,8,28,13,14,22,18,13,10,18
E00016393,123,8,21,12,15,16,17,14,5,15
E00165790,108,15,11,9,18,5,13,16,7,14
E00016361,91,12,9,9,7,16,8,17,3,10
E00016363,129,12,14,16,16,11,20,13,8,19
E00016366,117,14,22,14,18,13,17,9,4,6
E00016367,86,10,9,7,19,12,12,8,2,7
E00016368,150,19,34,22,16,17,9,13,6,14
E00016353,124,12,21,5,16,14,16,16,10,14
E00016360,210,23,31,32,25,15,24,29,14,17
E00016380,105,7,13,9,17,7,15,14,9,14
E00016389,100,4,7,7,14,10,24,9,14,11
E00016390,83,7,13,9,13,7,4,17,9,4
E00016392,128,10,10,9,21,22,19,9,14,14
E00016359,124,7,23,14,23,15,10,18,1,13
E00016384,157,27,28,23,17,19,7,16,11,9
E00016385,132,7,12,14,19,12,17,15,16,20
E00016386,79,6,9,11,11,10,11,4,6,11
E00016388,140,10,25,9,28,15,18,12,15,8
E00016346,97,8,6,8,17,12,12,11,10,13
E00016354,83,7,9,12,8,6,10,7,10,14
E00016357,105,1,12,9,17,7,17,14,11,17
E00016358,113,11,14,17,14,8,15,8,7,19
E00016391,149,9,31,19,24,13,15,17,9,12
E00016362,133,14,16,11,11,21,15,20,5,20
E00016364,96,6,13,9,13,12,15,10,4,14
E00016365,79,8,5,9,12,15,13,6,4,7
E00016394,126,13,21,13,18,13,16,10,8,14
E00165789,104,11,15,14,12,9,18,12,4,9
E00016678,101,3,14,13,15,11,9,10,10,16
E00016722,129,4,12,18,20,13,22,13,10,17
E00016724,179,14,43,29,27,12,17,15,1,21
E00016727,149,5,27,11,16,15,27,17,7,24
E00016676,93,7,13,9,11,8,13,8,1,23
E00016685,135,8,20,10,14,10,17,21,11,24
E00016690,115,5,19,14,13,12,10,12,7,23
E00016691,158,15,33,19,15,19,18,10,4,25
E00016726,77,9,10,5,10,13,9,6,7,8
E00016688,130,10,15,12,20,14,8,12,10,29
E00016695,105,7,8,14,16,14,11,9,5,21
E00016705,159,14,24,21,20,18,14,21,7,20
E00016710,149,15,20,12,11,23,23,7,6,32
E00016712,139,9,20,19,15,6,24,16,2,28
E00016682,153,8,27,35,13,18,12,10,6,24
E00016686,136,1,22,16,21,16,21,7,6,26
E00016699,135,10,10,23,16,12,15,21,10,18
E00016702,150,6,20,19,18,25,19,14,8,21
E00016707,245,36,41,45,20,21,15,20,7,40
E00016711,166,21,41,29,19,10,10,13,2,21
E00016696,121,12,15,22,20,8,11,11,4,18
E00016698,145,6,24,26,15,10,15,16,8,25
E00016703,98,5,15,14,5,12,17,7,1,22
E00016713,241,25,34,49,25,18,28,15,8,39
E00165804,120,8,20,24,16,9,11,12,3,17
