LSOA11CD,All categories: Type of central heating in household,Does not have central heating,Does have central heating,Occupancy rating (rooms) of -1 or less,Occupancy rating (bedrooms) of -1 or less,Average household size,Average number of rooms per household,Average number of bedrooms per household
E01003189,624,15,609,124,91,13.3,22.700000000000003,12.0
E01003190,809,14,795,183,135,14.0,24.5,12.3
E01003191,665,22,643,120,77,11.299999999999999,21.199999999999996,11.0
E01003192,741,12,729,162,103,13.4,24.200000000000003,12.200000000000001
E01003193,666,14,652,116,69,11.7,23.499999999999996,12.4
E01003194,716,13,703,154,90,11.899999999999999,22.0,11.2
E01003195,637,22,615,80,56,12.2,24.4,12.6
E01003196,624,24,600,100,82,13.399999999999999,23.5,12.5
E01003197,625,12,613,116,86,12.9,23.3,12.500000000000002
E01003198,639,14,625,74,43,11.1,24.599999999999998,12.799999999999999
E01003199,801,15,786,107,60,12.8,27.2,14.2
E01003200,756,22,734,134,37,12.3,27.9,13.799999999999999
E01003201,680,18,662,123,70,12.2,23.900000000000002,12.799999999999999
E01003202,764,41,723,57,28,12.4,30.1,15.1
E01003203,980,50,930,306,91,10.6,21.099999999999998,10.4
E01003204,603,16,587,86,47,11.5,22.900000000000002,11.899999999999999
E01003205,502,6,496,170,96,13.399999999999999,21.199999999999996,11.4
E01003206,698,30,668,115,51,13.5,30.100000000000005,15.000000000000002
E01003207,615,18,597,227,92,11.399999999999999,19.2,10.4
E01003209,778,18,760,285,174,17.2,27.799999999999997,15.100000000000001
E01003210,850,32,818,244,104,10.4,19.5,9.7
E01003211,753,36,717,175,74,12.399999999999999,23.800000000000004,12.1
E01003212,867,34,833,188,106,13.8,28.0,14.5
E01003213,813,17,796,166,89,13.599999999999998,26.9,13.8
E01003214,745,22,723,210,132,11.9,21.099999999999998,11.000000000000002
E01003215,666,27,639,252,127,12.2,20.299999999999997,10.9
E01003216,689,17,672,176,82,13.4,26.0,13.600000000000001
E01003217,622,29,593,59,47,13.5,27.299999999999997,14.3
E01003218,539,14,525,39,46,11.2,22.9,12.1
E01003219,631,18,613,70,57,13.0,27.200000000000003,14.0
E01003220,604,22,582,114,62,12.4,25.5,13.1
E01003221,769,29,740,196,88,12.600000000000001,25.4,13.599999999999998
E01003222,629,22,607,94,72,13.0,27.6,14.1
E01003223,603,12,591,61,42,14.200000000000001,30.000000000000004,16.0
E01003224,626,22,604,92,67,13.3,25.999999999999996,14.1
E01003225,590,13,577,31,27,12.700000000000001,27.0,14.2
E01003226,709,29,680,127,83,12.399999999999999,25.4,13.3
E01003227,678,26,652,84,54,12.3,25.599999999999998,13.2
E01003228,673,25,648,54,38,11.099999999999998,25.0,12.399999999999999
E01003229,742,13,729,180,90,10.5,20.4,10.4
E01003230,866,18,848,181,112,13.5,26.900000000000002,13.6
E01003231,687,29,658,154,74,11.700000000000001,22.9,12.299999999999999
E01003232,649,15,634,69,49,13.100000000000001,26.2,14.399999999999999
E01003233,669,24,645,68,50,12.6,25.599999999999998,13.1
E01003235,523,10,513,44,28,12.1,26.5,13.8
E01003236,648,28,620,104,74,12.3,22.1,11.3
E01003237,608,16,592,109,73,12.100000000000001,22.700000000000003,11.9
E01003238,565,13,552,94,61,12.5,22.200000000000003,11.3
E01003239,564,27,537,110,90,10.1,17.9,9.4
E01003240,725,17,708,135,88,15.0,26.8,14.0
E01003241,695,13,682,129,67,11.3,23.1,11.600000000000001
E01003243,581,31,550,131,61,11.6,22.299999999999997,11.9
E01003244,618,7,611,232,142,10.6,15.7,8.3
E01003245,584,6,578,204,94,10.8,16.1,8.9
E01003246,559,24,535,168,110,10.399999999999999,16.6,8.9
E01003247,685,37,648,193,102,14.700000000000001,26.3,14.0
E01003248,718,34,684,252,141,11.4,18.6,9.4
E01003249,897,24,873,269,105,12.8,22.4,11.8
E01003250,763,27,736,240,130,11.6,19.6,10.3
E01003251,777,10,767,322,156,15.7,24.200000000000003,12.900000000000002
E01003252,613,8,605,218,141,12.600000000000001,19.9,10.5
E01003253,669,18,651,249,118,10.8,19.2,9.7
E01003254,602,23,579,33,23,11.799999999999999,27.0,14.1
E01003255,964,50,914,247,80,13.600000000000001,27.200000000000003,13.6
E01003256,931,31,900,286,132,13.4,24.8,13.0
E01003257,735,26,709,140,63,13.3,27.400000000000002,14.4
E01003258,594,11,583,157,90,14.8,25.200000000000003,13.600000000000001
E01003259,756,26,730,140,53,13.0,27.400000000000002,13.899999999999999
E01003260,681,8,673,142,98,13.3,26.4,14.2
E01003261,619,23,596,78,43,12.1,25.3,13.100000000000001
E01003262,624,25,599,108,53,10.899999999999999,22.700000000000003,11.399999999999999
E01003263,739,18,721,111,62,13.3,27.4,13.9
E01003264,728,10,718,123,60,13.4,27.599999999999998,13.7
E01003265,680,25,655,133,89,13.5,25.3,13.1
E01003266,757,18,739,123,77,13.899999999999999,26.0,13.4
E01003267,598,10,588,76,45,13.100000000000001,25.099999999999998,13.899999999999999
E01003268,718,25,693,118,73,13.899999999999999,27.699999999999996,14.1
E01003269,647,9,638,92,64,9.5,19.6,10.2
E01003270,678,22,656,65,40,12.0,25.6,13.0
E01003271,637,7,630,32,29,13.2,29.600000000000005,15.7
E01003272,798,29,769,170,104,12.3,23.4,12.4
E01003273,666,22,644,170,151,18.2,31.300000000000004,17.8
E01003274,721,17,704,147,84,11.899999999999999,23.1,11.899999999999999
E01003275,640,9,631,136,83,12.8,23.6,12.4
E01003276,700,19,681,101,72,13.600000000000001,26.0,13.399999999999999
E01003277,778,17,761,172,100,13.2,27.0,13.700000000000001
E01003278,805,18,787,180,117,14.0,27.4,14.0
E01003279,654,22,632,94,56,12.2,26.300000000000004,13.6
E01003280,651,16,635,94,61,12.3,24.499999999999996,13.1
E01003281,601,13,588,58,38,12.799999999999999,26.4,13.900000000000002
E01003282,1047,26,1021,263,163,13.8,25.9,13.2
E01003283,923,40,883,167,40,13.8,29.0,15.4
E01003284,748,22,726,101,59,11.7,24.1,12.3
E01003285,767,22,745,95,49,12.7,28.0,14.7
E01003286,786,15,771,159,87,12.299999999999999,24.299999999999997,12.000000000000002
E01003287,797,21,776,76,45,11.9,27.0,13.8
E01003288,794,20,774,241,129,11.2,20.0,10.1
E01003290,725,21,704,221,121,11.600000000000001,20.5,10.6
E01003291,682,12,670,174,107,10.8,20.0,9.700000000000001
E01003292,702,23,679,120,75,11.2,22.799999999999997,11.7
E01003293,676,17,659,167,95,11.2,20.400000000000002,10.3
E01003295,653,29,624,175,115,12.399999999999999,22.4,11.399999999999999
E01003296,1021,49,972,394,143,16.4,29.199999999999996,14.6
E01003297,767,101,666,384,201,11.999999999999998,18.099999999999998,8.0
E01003298,475,19,456,146,103,10.9,16.9,9.2
E01003299,609,24,585,173,121,13.299999999999999,22.0,11.600000000000001
E01003300,561,7,554,159,94,12.0,20.400000000000002,10.8
E01003301,767,57,710,238,135,15.1,23.9,13.100000000000001
E01003302,710,21,689,233,125,12.7,22.1,10.900000000000002
E01003303,560,14,546,205,94,12.3,20.2,11.600000000000001
E01003304,903,90,813,377,143,12.700000000000001,21.8,11.7
E01003305,513,18,495,135,75,12.399999999999999,21.0,11.399999999999999
E01003307,627,20,607,113,61,12.200000000000001,23.9,12.6
E01003308,734,19,715,165,92,12.3,23.700000000000003,12.2
E01003309,645,16,629,160,59,11.5,22.099999999999998,12.0
E01003310,756,20,736,205,85,14.299999999999999,27.300000000000004,14.1
E01003311,605,25,580,58,39,12.7,28.0,14.600000000000001
E01003312,779,28,751,167,71,13.2,28.1,14.3
E01003313,670,34,636,172,68,11.5,20.8,11.0
E01003314,683,23,660,110,92,11.7,24.200000000000003,12.3
E01003315,599,23,576,123,65,8.6,16.9,8.600000000000001
E01003316,609,18,591,75,61,12.100000000000001,25.000000000000004,12.6
E01003317,688,20,668,141,89,13.900000000000002,24.900000000000002,13.299999999999999
E01003318,705,39,666,289,136,10.600000000000001,18.3,9.0
E01003319,752,17,735,185,111,12.4,22.2,11.3
E01003320,650,20,630,147,100,13.8,25.8,13.0
E01003321,810,22,788,159,111,11.9,22.3,11.1
E01003322,593,18,575,109,72,12.0,23.7,12.2
E01003323,624,25,599,128,79,11.9,23.700000000000003,12.2
E01003324,713,49,664,222,104,10.8,21.1,10.2
E01003325,722,40,682,179,108,14.2,26.1,13.5
E01003326,638,24,614,86,58,10.900000000000002,22.500000000000004,11.5
E01003327,714,23,691,116,77,12.600000000000001,25.9,13.399999999999999
E01003328,833,19,814,166,71,12.200000000000001,24.8,12.5
E01003329,666,16,650,93,52,11.8,23.7,12.6
E01003330,662,18,644,152,77,14.200000000000001,26.3,13.599999999999998
E01003331,572,5,567,109,58,12.1,24.400000000000002,13.0
E01003332,679,9,670,123,60,13.099999999999998,25.3,12.900000000000002
E01003333,657,34,623,129,81,11.7,21.9,11.0
E01003334,778,30,748,198,92,12.500000000000002,23.9,12.1
E01003335,594,7,587,108,64,11.700000000000001,24.4,12.799999999999999
E01003336,577,9,568,152,87,11.900000000000002,21.099999999999998,11.299999999999999
E01003337,600,7,593,178,111,11.0,16.8,8.8
E01003338,771,12,759,268,136,13.8,22.4,11.700000000000001
E01003339,763,16,747,192,83,11.600000000000001,22.4,12.4
E01003340,797,19,778,227,106,11.899999999999999,22.700000000000003,12.100000000000001
E01003341,581,30,551,134,69,10.4,20.799999999999997,11.2
E01003342,702,24,678,161,82,14.0,25.4,13.099999999999998
E01003343,626,24,602,144,78,10.9,22.500000000000004,11.2
E01003344,719,16,703,142,83,12.0,23.2,12.5
E01003345,719,26,693,155,78,12.099999999999998,22.0,11.4
E01003346,598,24,574,100,61,10.1,18.6,10.0
E01003347,638,5,633,151,83,13.599999999999998,21.799999999999997,11.8
E01003348,571,9,562,72,43,12.7,25.8,14.0
E01003349,541,11,530,106,75,13.200000000000001,22.3,12.0
E01003350,519,12,507,87,61,11.0,19.3,10.5
E01003351,592,31,561,93,67,12.299999999999999,22.2,11.7
E01003352,735,10,725,150,75,12.4,23.7,12.7
E01003353,632,22,610,65,52,14.0,26.9,14.5
E01003354,701,24,677,131,83,14.499999999999998,27.0,14.100000000000001
E01032564,508,10,498,86,64,10.2,18.0,9.399999999999999
E01032565,644,17,627,115,68,11.0,21.5,11.2
E01032579,711,13,698,255,111,10.5,18.2,9.4
E01033320,645,28,617,135,76,13.5,26.7,13.600000000000001
E01033322,594,35,559,256,91,10.4,17.0,8.9
E01033324,642,24,618,140,88,14.9,28.200000000000003,14.7
E01033325,706,95,611,442,62,10.2,15.5,8.5
E01033327,679,38,641,195,94,11.1,20.4,10.200000000000001
E01033341,551,20,531,148,68,7.1,12.399999999999999,6.3
