OA11CD,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
E00016115,326,12,20,27,21,22,16,14,18,21,20,29,26,26,15,20,10,4,5
E00016136,314,18,20,36,20,17,11,12,31,27,20,28,21,14,14,11,3,4,7
E00016137,404,30,49,42,28,27,17,23,24,31,26,30,25,19,10,5,11,3,4
E00016138,295,25,25,25,24,16,10,27,20,24,19,21,24,9,9,8,3,2,4
E00016139,352,24,40,33,28,19,17,20,23,30,17,34,19,20,10,11,3,4,0
E00016116,389,30,26,38,25,8,17,27,38,54,41,33,18,7,6,8,5,7,1
E00016129,359,33,31,37,20,15,19,50,35,40,29,9,19,7,4,5,5,1,0
E00016142,716,60,80,61,39,31,49,92,54,58,42,40,38,22,5,14,19,6,6
E00016144,346,43,40,29,13,15,22,36,21,28,21,20,18,18,12,5,4,1,0
E00016145,263,20,24,29,15,10,16,23,15,18,26,23,21,10,6,2,3,1,1
E00016150,345,37,38,36,21,16,19,22,27,17,34,23,26,15,4,3,4,2,1
E00016117,311,35,36,19,13,7,16,33,31,26,18,12,18,12,5,8,9,9,4
E00016132,324,32,38,16,15,11,17,34,36,21,25,16,26,12,6,10,5,1,3
E00016143,386,14,38,21,21,29,33,31,28,27,24,28,31,19,8,14,12,2,6
E00016147,322,23,35,17,6,11,22,23,32,22,26,18,39,15,10,6,6,4,7
E00016153,290,18,29,11,13,11,16,23,22,13,17,16,32,27,18,10,10,1,3
E00016141,289,22,19,26,16,18,23,19,18,17,26,20,16,11,11,11,5,8,3
E00016146,343,29,21,28,19,15,27,23,29,41,27,27,20,9,7,8,4,5,4
E00016148,299,26,22,24,18,13,20,19,21,27,14,23,17,15,15,13,4,4,4
E00016149,276,25,22,18,10,13,19,30,24,16,20,27,12,15,12,10,1,0,2
E00016151,289,16,31,21,16,12,19,19,27,28,22,17,21,13,8,6,0,13,0
E00016152,244,16,22,11,11,12,19,19,22,19,14,24,19,13,7,11,1,1,3
E00016126,335,20,18,20,23,13,14,24,16,30,22,28,20,18,17,29,9,8,6
E00016127,424,24,31,22,27,23,26,23,34,34,27,47,20,22,17,21,16,5,5
E00016131,349,36,28,28,18,14,27,27,33,33,18,23,22,9,7,9,9,5,3
E00016134,275,15,17,15,14,12,16,20,16,20,20,23,13,17,15,26,8,6,2
E00016140,323,22,29,21,16,13,28,34,26,31,24,21,15,12,8,18,4,1,0
E00016118,380,19,18,20,17,17,18,32,31,25,31,26,35,20,20,25,9,8,9
E00016154,314,25,15,33,9,7,18,22,19,32,23,16,12,15,21,12,14,5,16
E00016155,449,25,33,31,24,19,34,42,49,49,41,30,35,10,9,5,0,6,7
E00016156,349,17,27,24,20,16,18,20,26,25,27,25,26,22,18,16,10,6,6
E00016157,384,27,24,39,35,18,21,24,29,31,32,29,21,24,11,3,8,6,2
E00016112,341,29,27,22,17,17,21,19,29,33,27,23,15,13,9,17,7,6,10
E00016119,354,22,28,26,16,11,19,22,31,32,25,29,28,16,14,14,12,7,2
E00016121,271,16,19,18,11,16,10,14,25,27,26,29,24,12,10,4,3,3,4
E00016123,323,25,14,21,24,20,15,9,31,31,23,28,27,12,11,12,10,6,4
E00016158,307,33,16,18,11,12,18,20,22,28,22,30,32,13,8,12,5,3,4
E00016113,394,17,24,33,27,21,13,21,29,34,19,29,33,34,10,10,12,18,10
E00016120,339,23,34,33,18,11,17,23,37,23,23,26,25,21,5,5,6,1,8
E00016122,405,28,37,50,16,16,18,24,50,39,19,27,22,23,13,6,6,7,4
E00016124,333,25,43,47,23,15,6,18,25,24,21,22,16,19,12,4,4,4,5
E00016125,362,24,27,40,35,11,12,28,32,38,22,23,17,14,8,6,6,16,3
E00016114,310,14,23,23,16,15,20,11,27,23,14,35,30,21,17,9,6,4,2
E00016128,332,16,33,27,26,10,13,26,21,28,27,26,25,16,16,7,7,5,3
E00016130,323,22,20,22,13,17,18,21,27,23,28,28,29,19,6,6,9,12,3
E00016133,346,15,36,36,22,12,14,18,37,29,18,32,28,27,13,7,0,1,1
E00016135,323,16,28,21,14,13,13,21,24,25,20,35,24,25,16,15,5,2,6
E00016178,268,25,11,20,15,9,16,22,27,17,27,18,8,12,11,9,10,6,5
E00016179,322,14,18,24,11,14,38,34,41,34,18,25,12,11,12,6,4,3,3
E00016180,284,18,19,11,16,7,19,20,34,21,20,26,15,8,6,22,11,6,5
E00016187,320,34,19,21,13,6,21,36,29,29,19,24,9,11,7,6,15,6,15
E00016189,291,21,26,19,11,6,9,15,22,31,38,24,13,10,13,18,6,7,2
E00016159,325,22,21,17,16,14,24,30,35,28,17,19,10,18,18,14,14,7,1
E00016173,294,16,18,19,12,11,20,28,28,20,23,22,28,13,11,14,7,1,3
E00016176,300,24,22,23,10,4,23,37,27,32,23,28,15,13,2,8,3,3,3
E00016184,237,12,7,3,7,5,18,42,32,18,22,27,8,3,10,8,5,5,5
E00016186,482,21,17,16,16,32,85,78,50,29,47,34,17,8,18,5,7,2,0
E00016188,282,7,15,18,11,15,18,43,24,22,24,15,15,9,11,12,13,4,6
E00016166,198,8,11,11,4,7,29,19,22,13,23,11,13,4,5,5,6,6,1
E00016167,258,18,19,15,10,14,9,13,16,12,23,26,13,14,17,11,12,10,6
E00016171,317,18,10,5,4,25,62,46,41,30,22,14,11,12,4,6,2,3,2
E00016174,300,30,34,14,3,6,13,18,36,29,29,26,15,13,4,7,9,7,7
E00016204,294,18,17,7,6,26,33,25,24,30,23,15,20,9,8,11,6,10,6
E00016206,317,23,15,13,9,30,49,37,29,12,20,20,29,10,10,9,1,1,0
E00016164,324,15,17,24,35,14,27,24,17,23,15,30,26,18,11,8,5,7,8
E00016170,477,31,22,35,24,15,53,61,43,44,45,26,27,19,14,5,8,1,4
E00016175,296,20,15,11,7,10,28,42,19,30,16,18,31,20,9,6,5,4,5
E00016181,306,22,11,12,15,21,41,32,17,23,15,21,19,23,9,12,6,2,5
E00016182,359,23,27,21,18,19,28,36,26,27,19,22,32,24,11,7,10,1,8
E00016160,296,16,17,18,11,9,13,12,21,30,30,19,16,10,14,20,10,12,18
E00016183,246,13,11,9,9,5,27,25,27,27,18,14,13,5,7,14,4,8,10
E00016185,217,10,8,15,7,2,15,15,15,21,23,18,10,4,10,16,10,10,8
E00016191,279,14,11,16,8,6,16,25,20,25,20,17,23,10,14,18,8,19,9
E00016195,267,22,19,10,5,7,18,26,22,33,24,18,15,3,10,10,5,11,9
E00016197,277,20,9,8,6,8,41,24,38,33,29,14,21,6,4,5,5,5,1
E00016161,359,22,11,11,16,14,34,53,47,35,22,20,13,14,11,19,8,3,6
E00016190,262,8,14,7,8,8,15,16,21,22,12,15,21,31,23,12,7,16,6
E00016192,359,18,18,19,16,24,41,48,34,40,27,21,17,11,5,7,7,5,1
E00016193,272,16,6,6,6,14,23,54,35,29,17,25,9,11,10,5,2,4,0
E00016194,365,19,14,17,13,29,28,42,47,41,31,28,17,12,12,7,4,1,3
E00016196,459,38,30,25,17,22,41,46,41,47,34,36,28,21,11,8,6,5,3
E00016162,260,15,23,10,19,6,18,24,33,21,19,17,14,21,7,4,4,3,2
E00016198,502,51,46,32,45,22,28,64,49,36,34,31,9,25,7,13,3,5,2
E00016202,428,30,25,17,18,41,76,62,43,29,19,21,14,8,4,5,6,3,7
E00016205,237,10,6,4,5,7,31,31,33,19,13,20,15,10,7,10,5,4,7
E00016208,297,21,19,18,17,12,24,36,26,17,21,26,19,11,9,11,4,3,3
E00016199,185,7,22,8,22,8,11,9,17,14,13,15,14,6,4,3,7,5,0
E00016200,324,19,45,21,49,21,18,23,26,16,18,15,15,13,10,3,3,2,7
E00016201,417,42,33,7,8,12,44,68,93,19,20,4,11,18,9,9,7,8,5
E00016203,65,2,9,4,4,3,4,2,8,3,5,3,4,3,1,4,0,1,5
E00016207,416,21,52,25,75,30,21,26,40,12,24,20,15,20,15,7,3,6,4
E00016163,337,32,20,17,15,11,39,47,40,25,25,15,15,8,14,5,2,2,5
E00016165,319,26,18,12,13,10,22,37,29,34,33,25,11,8,11,8,3,12,7
E00016168,184,9,4,2,6,4,15,31,16,23,14,16,15,3,5,7,4,6,4
E00016169,284,19,23,9,14,7,14,37,27,12,16,21,20,17,10,14,8,10,6
E00016172,275,25,9,6,7,10,34,29,43,28,13,20,12,15,4,6,0,3,11
E00016177,273,24,18,12,8,3,34,50,21,21,17,17,17,8,7,7,1,2,6
E00016210,398,10,15,20,23,46,32,33,25,24,27,24,20,30,17,17,22,1,12
E00016239,296,11,8,9,16,35,25,46,22,30,25,11,13,10,12,10,4,3,6
E00016240,514,40,24,25,21,44,68,88,65,48,20,19,19,18,6,6,1,1,1
E00016241,178,9,8,17,9,17,12,15,9,12,7,10,10,12,11,4,8,1,7
E00016245,382,19,25,37,28,49,28,27,26,30,30,25,12,17,10,3,11,1,4
E00016211,364,23,21,18,23,24,64,26,31,23,28,24,14,14,11,7,4,1,8
E00016213,398,18,23,25,16,36,83,31,32,29,24,27,17,8,8,4,7,5,5
E00016244,324,16,13,11,12,29,78,33,23,13,17,20,17,13,14,6,4,5,0
E00016250,337,19,26,14,17,27,63,24,22,14,26,23,18,24,3,6,1,5,5
E00174011,120,8,9,2,3,9,20,23,11,11,11,5,5,1,0,2,0,0,0
E00174032,445,13,5,6,29,159,84,25,25,17,10,23,17,10,8,4,4,6,0
E00174033,103,9,7,8,3,10,15,8,6,11,4,7,4,2,2,3,3,0,1
E00016216,376,27,23,16,9,19,46,59,49,41,21,16,17,14,5,8,1,1,4
E00016236,794,49,33,51,19,38,110,121,97,107,55,37,28,16,13,13,4,1,2
E00016246,92,11,4,7,3,2,6,16,8,5,7,5,2,7,3,3,1,0,2
E00016248,346,23,9,8,12,20,41,56,54,46,27,12,10,9,4,9,0,3,3
E00016252,392,23,16,17,18,25,34,52,45,33,40,36,16,11,9,3,5,4,5
E00016219,341,19,16,10,10,23,56,63,38,21,20,22,13,6,3,9,6,4,2
E00016220,202,15,8,9,4,11,23,36,23,17,16,9,6,6,3,6,5,4,1
E00016221,310,26,24,14,6,18,34,49,37,30,15,18,12,13,5,2,2,3,2
E00016223,228,14,13,12,4,16,22,24,34,18,13,13,12,18,5,3,1,2,4
E00016225,238,13,16,13,3,20,29,33,24,20,18,17,6,8,3,6,3,5,1
E00016255,214,21,12,6,3,7,26,34,28,20,16,16,9,5,3,5,1,1,1
E00016214,417,20,24,11,13,42,66,60,40,32,15,22,14,19,12,14,5,7,1
E00016215,325,15,26,15,8,14,48,47,30,20,14,24,19,19,10,5,4,2,5
E00016217,383,20,18,17,16,20,43,55,22,27,19,32,27,25,12,11,10,5,4
E00016237,355,15,11,15,11,48,54,56,23,19,18,17,12,16,9,10,10,7,4
E00016247,295,13,26,20,9,15,32,51,24,19,17,15,22,10,8,9,2,2,1
E00016253,324,17,13,10,9,41,42,55,29,27,16,14,16,14,8,6,2,2,3
E00016218,234,21,13,8,6,5,31,49,35,22,16,10,6,4,4,4,0,0,0
E00016222,339,28,22,13,7,17,36,52,51,25,26,18,14,10,8,5,3,4,0
E00016224,293,17,23,9,7,10,33,31,54,24,30,19,11,7,5,3,7,3,0
E00016226,345,39,30,18,15,27,26,40,36,36,19,11,15,6,4,9,8,3,3
E00016227,461,25,16,8,18,78,91,60,56,30,19,13,10,10,8,11,5,0,3
E00016228,400,28,29,23,20,22,39,44,43,34,31,31,11,8,11,8,10,3,5
E00016229,436,24,24,14,13,24,57,63,45,34,36,27,24,13,14,9,3,5,7
E00016230,358,30,33,19,10,20,35,41,35,18,34,25,17,18,5,2,4,6,6
E00016231,342,20,32,14,10,32,34,32,22,26,32,28,18,15,8,3,3,8,5
E00016232,365,25,25,25,10,19,38,39,44,25,36,29,12,16,7,5,4,4,2
E00016233,386,28,45,17,26,26,36,37,26,28,32,38,14,15,7,7,1,0,3
E00016209,490,29,29,19,40,68,59,42,56,39,30,22,24,11,10,5,0,4,3
E00016235,327,20,13,6,16,31,72,41,47,22,17,16,12,4,2,5,0,3,0
E00016238,382,24,16,11,11,36,70,41,50,25,20,16,12,10,18,9,7,3,3
E00173941,553,35,19,4,91,258,37,26,26,13,12,6,7,3,7,5,1,1,2
E00173942,388,32,12,11,22,92,63,37,51,25,10,11,9,6,2,3,1,0,1
E00016261,396,18,23,29,19,20,36,24,24,32,36,30,47,14,20,10,2,4,8
E00016282,443,33,34,15,36,18,21,35,37,47,38,22,35,25,19,6,2,10,10
E00016288,462,43,48,24,33,22,18,28,36,58,42,27,34,20,16,8,3,2,0
E00016289,349,24,38,24,20,21,15,30,25,30,21,39,27,11,10,2,6,6,0
E00016294,316,20,25,17,18,12,22,28,27,18,19,26,35,16,14,6,6,3,4
E00016281,359,32,25,19,23,15,17,25,34,24,34,26,22,16,9,10,11,3,14
E00016290,331,25,34,20,19,11,20,21,25,36,25,28,18,13,11,4,5,10,6
E00016292,274,26,17,22,15,9,13,17,28,17,14,23,25,15,9,4,7,6,7
E00016293,321,25,15,19,15,19,27,17,19,21,26,29,31,17,11,8,4,9,9
E00016295,353,34,24,24,19,20,17,23,21,30,25,26,34,14,15,10,4,5,8
E00016258,430,33,29,35,25,18,26,29,37,44,29,30,23,20,20,9,5,8,10
E00016259,325,24,28,16,24,12,13,16,31,37,18,22,29,9,15,12,5,5,9
E00016298,477,31,38,30,32,31,23,33,28,49,36,34,36,27,20,8,5,9,7
E00016299,425,24,28,23,47,28,13,22,42,35,39,32,35,16,11,12,9,6,3
E00016260,365,31,16,22,19,22,25,22,24,26,26,21,38,27,16,9,10,5,6
E00016262,274,29,15,15,14,14,17,14,18,25,32,20,17,7,6,16,3,4,8
E00016266,350,20,19,25,23,18,15,22,33,32,23,25,30,21,11,15,5,6,7
E00016267,328,30,17,16,29,29,19,16,26,29,26,15,24,11,7,14,7,9,4
E00016271,402,26,29,26,19,25,29,21,22,31,21,27,35,21,12,20,8,19,11
E00016274,379,26,18,22,25,25,21,25,50,32,20,23,28,18,10,7,4,12,13
E00016276,394,22,15,10,17,18,24,47,50,41,33,20,26,23,10,11,9,6,12
E00016277,387,29,21,27,17,17,27,36,40,31,24,23,36,24,7,12,7,9,0
E00016278,321,24,16,14,19,21,14,30,36,38,17,15,19,24,13,10,2,5,4
E00016285,303,14,8,8,21,13,15,25,39,20,25,19,24,28,13,11,7,6,7
E00016257,413,37,35,22,24,26,18,22,40,39,23,32,26,26,13,14,5,4,7
E00016263,228,15,14,7,10,17,18,29,19,20,11,10,11,18,11,6,2,1,9
E00016265,497,42,42,24,21,22,26,44,50,48,45,33,27,26,11,17,4,6,9
E00016268,467,28,26,27,23,31,26,32,29,53,20,29,30,39,25,15,13,13,8
E00016291,556,57,54,33,23,28,35,44,57,50,43,18,25,21,25,10,6,9,18
E00016256,335,13,29,17,17,18,20,29,32,21,26,23,30,21,4,11,7,10,7
E00016284,283,15,26,17,10,12,12,25,29,27,26,18,18,19,12,9,1,5,2
E00016286,426,36,25,22,31,23,21,29,29,40,30,35,43,19,16,11,9,5,2
E00016296,305,15,19,17,16,17,20,37,22,24,29,23,22,21,10,4,2,3,4
E00016297,386,24,34,22,28,24,19,27,26,32,25,21,33,27,17,10,4,7,6
E00016264,306,12,16,19,10,15,20,20,17,27,17,19,27,18,16,16,13,13,11
E00016269,357,15,18,26,38,30,14,18,12,22,36,33,30,20,10,15,9,3,8
E00016270,280,10,12,11,14,19,31,11,12,16,16,22,30,20,9,19,12,4,12
E00016272,383,28,34,19,18,19,24,24,22,40,29,30,25,20,9,12,7,11,12
E00016273,364,22,21,8,11,21,35,39,29,17,29,22,30,31,13,12,12,6,6
E00016275,414,41,38,26,28,13,19,29,40,45,28,28,29,16,14,4,11,2,3
E00016279,331,19,27,22,37,14,22,21,29,28,23,24,16,18,11,6,6,5,3
E00016280,281,21,13,14,23,12,15,22,22,19,20,23,26,13,9,8,12,3,6
E00016283,373,28,38,25,15,19,16,28,33,37,23,30,27,18,18,7,5,3,3
E00016287,377,31,29,30,20,23,23,22,23,27,26,25,24,21,17,23,7,1,5
E00016335,225,23,12,12,4,5,19,21,26,31,11,7,15,13,6,6,7,2,5
E00016336,377,27,33,18,8,10,18,40,33,40,28,37,24,14,16,9,7,11,4
E00016339,341,24,38,26,17,9,10,26,41,26,25,20,21,16,15,10,11,1,5
E00016340,343,33,35,21,12,11,14,22,46,39,30,22,19,16,3,8,3,6,3
E00016341,316,25,40,23,8,4,11,13,49,43,21,17,18,12,11,8,6,4,3
E00016300,339,33,17,6,6,23,30,45,57,34,20,17,15,15,9,5,3,2,2
E00016310,242,23,19,12,9,16,18,10,19,21,21,10,15,16,14,10,4,1,4
E00016312,338,31,25,18,13,13,23,38,45,29,29,20,11,16,12,10,4,1,0
E00016343,348,36,35,14,13,12,21,23,38,33,25,12,19,20,15,15,11,3,3
E00016344,458,30,23,15,12,32,49,62,64,51,31,25,17,20,12,6,3,3,3
E00016301,408,40,33,19,7,15,29,34,41,56,39,30,16,12,12,7,6,8,4
E00016302,279,17,8,17,12,11,15,48,37,20,27,22,9,13,6,7,4,5,1
E00016316,355,19,21,25,21,14,20,39,36,27,29,19,14,14,27,14,8,3,5
E00016338,366,23,17,19,10,17,28,27,40,34,29,18,22,39,16,5,6,10,6
E00016342,302,27,21,18,13,14,16,21,35,29,22,25,22,10,10,5,6,5,3
E00016303,411,26,20,15,16,9,35,62,41,44,40,30,19,11,9,11,10,7,6
E00016304,321,24,23,6,9,6,16,41,57,32,31,17,22,9,10,9,3,4,2
E00016313,256,30,25,5,5,4,13,47,50,23,18,8,9,11,1,1,3,1,2
E00016318,299,35,34,10,3,4,11,38,36,36,17,17,14,11,6,14,5,5,3
E00016345,281,22,22,10,6,1,23,35,37,34,26,16,12,7,3,9,7,2,9
E00016307,417,24,34,27,22,17,26,35,30,45,32,32,19,24,13,9,13,4,11
E00016314,292,14,11,18,13,13,24,40,22,19,21,19,14,25,12,8,8,4,7
E00016319,238,12,15,8,10,12,21,14,12,17,26,16,18,21,9,7,5,5,10
E00016321,303,13,17,15,15,16,32,36,34,22,23,19,19,21,3,5,11,0,2
E00016322,426,34,28,26,18,17,17,41,62,43,34,32,25,15,6,11,7,9,1
E00016305,279,18,30,15,15,8,21,36,31,23,16,13,15,9,11,7,6,3,2
E00016306,341,22,17,10,18,18,31,55,29,12,17,36,26,10,13,8,8,8,3
E00016308,387,34,28,25,16,15,31,51,55,34,22,29,19,6,7,7,4,2,2
E00016315,415,40,25,17,21,19,32,55,42,43,23,26,32,17,9,4,4,3,3
E00016317,303,17,32,24,9,14,24,26,33,32,25,18,15,5,10,9,6,0,4
E00016320,300,38,23,11,10,9,22,37,35,34,16,26,16,8,7,4,4,0,0
E00016309,291,15,12,14,11,14,42,34,24,24,18,19,30,10,6,5,4,5,4
E00016323,263,14,22,14,7,13,39,28,19,20,17,17,12,15,5,7,8,3,3
E00016324,393,31,27,19,18,25,59,35,31,39,24,28,26,10,7,3,5,4,2
E00016325,343,27,18,16,5,12,63,47,34,28,27,12,15,14,15,4,5,0,1
E00016327,304,30,29,10,6,15,36,31,31,31,20,13,10,12,8,4,8,5,5
E00016326,353,36,43,15,13,8,19,23,51,37,15,19,21,17,12,8,10,1,5
E00016329,416,41,35,24,15,13,32,21,62,45,31,29,25,12,15,7,4,1,4
E00016332,454,37,48,14,11,20,27,31,58,46,18,26,28,21,27,15,6,6,15
E00016333,264,23,19,9,7,11,22,25,28,28,14,22,23,8,7,5,6,1,6
E00016337,367,23,44,19,18,24,17,13,30,38,24,34,22,20,15,10,8,3,5
E00016311,333,24,22,23,19,14,13,30,35,37,30,18,19,19,9,7,6,5,3
E00016328,285,26,22,15,6,8,12,34,43,39,16,15,17,12,4,3,4,7,2
E00016330,262,20,18,9,4,9,18,26,28,37,26,14,16,11,10,6,4,3,3
E00016331,396,23,26,22,17,16,26,28,47,45,21,25,27,17,14,12,15,9,6
E00016334,509,40,46,28,18,16,37,35,48,75,41,33,26,23,14,9,6,6,8
E00016361,246,14,24,9,14,18,21,23,12,15,19,15,18,6,13,10,9,2,4
E00016363,317,18,35,19,13,18,27,27,21,11,28,29,24,23,10,5,2,4,3
E00016366,270,16,17,22,15,19,17,16,19,20,22,14,18,16,13,8,9,2,7
E00016367,194,14,23,10,7,6,15,21,19,16,9,17,7,10,2,7,9,2,0
E00016368,288,13,17,18,14,14,24,20,23,19,18,23,24,17,20,10,5,4,5
E00016350,332,22,25,19,21,16,19,18,43,17,34,30,21,19,6,7,6,7,2
E00016369,388,21,29,40,32,18,19,18,39,35,36,26,28,14,10,10,4,5,4
E00016370,391,42,29,27,19,12,21,30,55,30,30,23,18,21,15,8,2,8,1
E00016371,322,25,29,28,25,14,20,16,40,33,18,21,15,14,5,3,8,3,5
E00016374,258,18,7,21,18,11,14,17,30,23,18,17,15,13,11,11,6,5,3
E00016352,273,17,34,24,18,11,15,20,20,22,23,19,13,13,11,4,1,3,5
E00016373,365,25,35,25,27,13,22,27,23,25,25,35,22,10,15,9,6,4,17
E00016378,335,28,29,18,23,16,16,26,21,22,31,34,15,18,17,4,8,6,3
E00016381,417,36,46,33,23,15,19,33,39,30,28,28,23,24,14,6,5,9,6
E00016382,282,24,25,20,13,14,14,24,17,19,18,23,23,16,4,6,11,6,5
E00016348,225,12,20,20,13,5,11,22,24,17,12,9,15,15,9,8,5,4,4
E00016372,334,21,32,33,22,18,16,28,34,30,22,23,21,9,15,1,2,4,3
E00016375,235,12,22,22,12,10,14,25,21,19,24,16,19,4,6,3,3,2,1
E00016377,273,16,23,28,17,10,16,20,21,30,18,21,16,11,5,15,3,1,2
E00016379,316,14,18,36,20,15,17,29,24,24,25,26,25,13,8,8,4,4,6
E00016349,378,26,27,40,29,16,23,22,37,25,31,31,17,17,12,7,8,6,4
E00016351,490,34,32,41,26,18,24,51,42,36,26,36,41,30,11,10,13,9,10
E00016376,319,17,24,26,26,18,18,17,23,32,26,21,13,21,10,6,9,5,7
E00016383,355,16,26,32,32,22,22,21,26,19,35,25,33,11,16,5,5,3,6
E00016353,321,17,27,23,22,25,15,27,23,32,19,27,12,18,7,13,6,5,3
E00016360,473,31,44,27,21,23,32,41,38,42,41,32,23,20,18,13,6,13,8
E00016380,300,16,29,30,18,14,21,21,33,22,22,13,18,11,8,13,1,5,5
E00016389,314,20,35,36,19,16,10,22,25,30,23,18,17,6,9,14,6,4,4
E00016390,228,10,11,21,19,16,14,14,30,16,15,9,17,13,5,3,5,6,4
E00016392,273,8,20,21,15,12,18,17,26,19,22,21,17,18,10,14,3,5,7
E00016359,336,13,19,17,20,12,16,13,30,20,27,29,26,23,16,16,13,12,14
E00016384,342,17,18,21,13,13,20,16,32,26,20,28,16,26,23,17,19,12,5
E00016385,462,19,25,27,25,17,27,38,45,26,34,35,21,40,30,19,11,12,11
E00016386,257,6,8,9,4,5,6,9,15,20,12,16,17,18,33,24,18,19,18
E00016388,274,11,18,13,5,10,10,12,20,28,16,26,24,18,12,19,11,14,7
E00016346,285,13,23,21,24,15,17,16,22,22,30,17,20,14,5,11,6,4,5
E00016354,268,26,21,16,11,13,13,21,18,31,29,14,18,11,6,5,6,6,3
E00016357,323,26,28,27,16,29,28,27,23,22,21,20,23,11,6,9,6,0,1
E00016358,331,36,21,19,21,32,19,29,40,24,19,18,15,6,9,4,6,3,10
E00016391,321,12,22,20,20,17,10,21,31,29,17,30,27,17,14,7,9,6,12
E00016403,370,29,50,38,20,20,17,30,33,29,36,20,15,19,1,3,3,5,2
E00016437,502,26,30,44,37,59,51,37,39,26,38,38,29,17,2,4,6,17,2
E00016439,401,36,37,28,11,33,35,50,49,33,26,21,11,15,4,4,3,3,2
E00016442,414,45,53,46,24,21,22,25,33,26,33,30,24,11,7,7,6,1,0
E00016399,529,33,37,33,59,44,61,49,43,23,28,28,34,28,22,3,1,2,1
E00016401,602,39,59,61,40,30,47,74,84,46,37,25,22,17,11,3,2,4,1
E00016406,304,13,17,23,42,28,37,31,16,16,19,21,11,15,5,2,1,0,7
E00016435,426,21,33,30,35,32,51,40,46,33,29,24,23,10,14,2,2,1,0
E00016412,409,25,30,26,18,35,38,46,47,17,23,31,22,21,7,7,7,3,6
E00016414,312,13,15,12,14,27,33,31,27,19,25,26,27,19,9,2,7,2,4
E00016418,713,29,32,38,28,71,103,146,81,45,27,40,28,21,6,7,4,6,1
E00016422,500,21,47,64,48,37,32,39,33,31,34,38,32,16,11,5,5,5,2
E00016395,571,27,16,6,11,56,115,130,62,43,23,19,15,13,9,7,9,5,5
E00016404,391,8,10,14,9,53,86,59,34,15,16,17,22,15,7,8,7,3,8
E00016405,355,14,16,6,10,40,72,65,37,19,12,14,26,10,5,5,3,0,1
E00016408,353,21,28,12,12,42,44,54,36,27,21,16,22,9,2,5,2,0,0
E00016410,344,19,15,13,5,28,50,58,42,27,14,14,16,14,5,11,11,1,1
E00016438,278,17,11,7,3,21,41,70,32,24,20,10,10,5,2,1,2,2,0
E00016402,307,19,29,25,12,23,34,22,17,24,30,21,18,10,3,11,3,2,4
E00016407,211,13,14,10,5,10,27,34,29,20,15,16,6,3,2,5,2,0,0
E00016409,441,16,41,35,32,33,46,36,37,33,46,33,16,16,9,9,1,1,1
E00016411,391,22,30,35,14,18,56,50,47,33,26,12,19,22,4,3,0,0,0
